Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524421829964,64571327438015,7.3645644,0.39264908,6.799533
android.sensor.accelerometer,1524421829980,64571347459890,7.2783732,0.4213795,6.4068837
android.sensor.accelerometer,1524421830000,64571367450515,7.038953,0.46926352,6.3302693
android.sensor.accelerometer,1524421830020,64571387441140,7.038953,0.4213795,6.7229185
android.sensor.accelerometer,1524421830040,64571407433328,7.297527,0.37349546,6.7612257
android.sensor.accelerometer,1524421830060,64571427455203,7.2209125,0.4309563,6.655881
android.sensor.accelerometer,1524421830080,64571447445828,7.1826053,0.45968673,6.3781533
android.sensor.accelerometer,1524421830100,64571467436453,7.1826053,0.4405331,6.540959
android.sensor.accelerometer,1524421830120,64571487458328,7.2783732,0.4213795,6.7133417
android.sensor.accelerometer,1524421830140,64571507450515,7.2592196,0.38307226,6.6079965
android.sensor.accelerometer,1524421830160,64571527441140,7.086837,0.35434186,6.493075
android.sensor.accelerometer,1524421830180,64571547463015,7.086837,0.32561144,6.483498
android.sensor.accelerometer,1524421830200,64571567453640,7.029376,0.31603462,6.6271505
android.sensor.accelerometer,1524421830220,64571587444265,6.8569937,0.2777274,6.6846113
android.sensor.accelerometer,1524421830240,64571607436453,6.4547677,0.2777274,6.943185
android.sensor.accelerometer,1524421830261,64571628280203,6.196194,0.35434186,7.536947
android.sensor.accelerometer,1524421830280,64571647448953,6.167464,0.22984336,7.699753
android.sensor.accelerometer,1524421830300,64571667439578,6.2345014,0.12449849,7.824251
android.sensor.accelerometer,1524421830320,64571687461453,6.6846113,-0.06703765,7.843405
android.sensor.accelerometer,1524421830340,64571707452078,7.201759,-0.45010993,7.967903
android.sensor.accelerometer,1524421830360,64571727444265,7.086837,-0.842759,7.920019
android.sensor.accelerometer,1524421830380,64571747434890,6.8569937,-1.3120226,7.1634517
android.sensor.accelerometer,1524421830400,64571767456765,7.297527,-1.982399,7.52737
android.sensor.accelerometer,1524421830420,64571787447390,8.418014,-2.9592333,8.552089
android.sensor.accelerometer,1524421830440,64571807438015,9.739613,-4.5298295,7.335834
android.sensor.accelerometer,1524421830460,64571827461453,10.879252,-5.257667,5.1523223
