Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524421817676,64559037461453,-0.058346357,0.006806784,-0.11588986
android.sensor.gyroscope,1524421817690,64559057452078,-0.037891097,0.012810716,-0.09625491
android.sensor.gyroscope,1524421817710,64559077442703,-0.006544985,0.020437805,-0.06489134
android.sensor.gyroscope,1524421817730,64559097434890,0.029164452,0.017453292,-0.020176006
android.sensor.gyroscope,1524421817750,64559117456765,0.051801372,0.020996312,0.0049043754
android.sensor.gyroscope,1524421817770,64559137447390,0.059166662,0.032986723,0.0095294975
android.sensor.gyroscope,1524421817790,64559157438015,0.07443829,0.037088245,0.027262043
android.sensor.gyroscope,1524421817810,64559177461453,0.051801372,0.04145157,0.016894788
android.sensor.gyroscope,1524421817830,64559197452078,0.056985,0.047438048,0.023719024
android.sensor.gyroscope,1524421817850,64559217442703,0.054262288,0.05071927,0.024260076
android.sensor.gyroscope,1524421817870,64559237433328,0.07553785,0.07089528,0.03981096
android.sensor.gyroscope,1524421817890,64559257455203,0.07826056,0.06244788,0.047996555
android.sensor.gyroscope,1524421817910,64559277445828,0.07225663,0.07171558,0.044174284
android.sensor.gyroscope,1524421817930,64559297436453,0.08344419,0.07061602,0.056985
android.sensor.gyroscope,1524421817950,64559317459890,0.07417649,0.06435029,0.051801372
android.sensor.gyroscope,1524421817970,64559337450515,0.08152433,0.060528018,0.059445914
android.sensor.gyroscope,1524421817990,64559357441140,0.09653416,0.059445914,0.08398525
android.sensor.gyroscope,1524421818010,64559377433328,0.0861669,0.061889376,0.07553785
android.sensor.gyroscope,1524421818030,64559397455203,0.04363323,0.061086524,0.04499459
android.sensor.gyroscope,1524421818050,64559417445828,0.022078415,0.067073,0.032724924
android.sensor.gyroscope,1524421818070,64559437436453,-0.009267698,0.0861669,0.012531464
android.sensor.gyroscope,1524421818090,64559457458328,-0.07880162,0.11861257,-0.03408628
android.sensor.gyroscope,1524421818110,64559477448953,-0.15271631,0.1513375,-0.069533914
android.sensor.gyroscope,1524421818130,64559497441140,-0.19825195,0.1696111,-0.06435029
android.sensor.gyroscope,1524421818150,64559517463015,-0.20343557,0.17097245,-0.011170107
android.sensor.gyroscope,1524421818170,64559537453640,-0.16716763,0.13962634,0.103620194
android.sensor.gyroscope,1524421818190,64559557444265,-0.10908308,0.09897762,0.27406904
android.sensor.gyroscope,1524421818210,64559577436453,0.18624409,-0.07335619,0.7300363
android.sensor.gyroscope,1524421818230,64559597458328,0.7542964,-0.41587704,1.4074335
android.sensor.gyroscope,1524421818250,64559617448953,1.1786383,-0.7343996,1.7971306
android.sensor.gyroscope,1524421818270,64559637439578,1.5683354,-1.0799224,2.1140301
android.sensor.gyroscope,1524421818290,64559657461453,1.8235898,-1.3839762,2.2899244
android.sensor.gyroscope,1524421818310,64559677452078,1.9738452,-1.6419709,2.3690052
android.sensor.gyroscope,1524421818330,64559697442703,2.0499415,-1.8459475,2.4000895
android.sensor.gyroscope,1524421818350,64559717434890,2.0671155,-2.00657,2.3848178
android.sensor.gyroscope,1524421818370,64559737456765,2.0630314,-2.1363878,2.3752708
android.sensor.gyroscope,1524421818390,64559757447390,2.0267637,-2.219832,2.3392823
android.sensor.gyroscope,1524421818410,64559777438015,1.9771265,-2.2362032,2.2972896
android.sensor.gyroscope,1524421818430,64559797461453,1.9310323,-2.222293,2.2506545
android.sensor.gyroscope,1524421818450,64559817452078,1.87677,-2.1658313,2.19257
android.sensor.gyroscope,1524421818470,64559837442703,1.8252304,-2.065475,2.1301045
android.sensor.gyroscope,1524421818490,64559857434890,1.774773,-1.9558508,2.0556662
android.sensor.gyroscope,1524421818510,64559877455203,1.7466906,-1.8486702,1.9817516
android.sensor.gyroscope,1524421818530,64559897445828,1.8025935,-1.768769,1.9244874
android.sensor.gyroscope,1524421818550,64559917438015,1.9514875,-1.7431476,1.877311
android.sensor.gyroscope,1524421818570,64559937459890,2.2533772,-1.8020525,1.8530335
android.sensor.gyroscope,1524421818590,64559957450515,2.7213347,-1.9509465,1.86368
android.sensor.gyroscope,1524421818610,64559977441140,3.2757561,-2.1486573,1.8977664
android.sensor.gyroscope,1524421818630,64559997433328,3.991062,-2.461176,1.9727631
android.sensor.gyroscope,1524421818650,64560017455203,4.775919,-2.8538752,2.068756
android.sensor.gyroscope,1524421818670,64560037445828,5.2553434,-3.1064067,2.0992994
android.sensor.gyroscope,1524421818690,64560057436453,5.5097775,-3.2062223,2.160927
android.sensor.gyroscope,1524421818710,64560077458328,5.6022277,-3.1748586,2.2228339
android.sensor.gyroscope,1524421818730,64560097450515,5.6316714,-3.0799477,2.301653
android.sensor.gyroscope,1524421818750,64560117441140,5.4857793,-2.8792348,2.3439074
android.sensor.gyroscope,1524421818770,64560137463015,5.215794,-2.6076267,2.3237314
android.sensor.gyroscope,1524421818790,64560157453640,4.909541,-2.3147428,2.2811978
android.sensor.gyroscope,1524421818810,64560177444265,4.596482,-2.0068493,2.2195528
android.sensor.gyroscope,1524421818830,64560197436453,4.2831426,-1.6640493,2.1440148
android.sensor.gyroscope,1524421818850,64560217458328,4.0060716,-1.2948074,2.0491211
android.sensor.gyroscope,1524421818870,64560237448953,3.7557216,-0.9154776,1.9130379
android.sensor.gyroscope,1524421818890,64560257439578,3.481932,-0.54049355,1.7237744
android.sensor.gyroscope,1524421818910,64560277463015,3.2002182,-0.12925908,1.4919772
android.sensor.gyroscope,1524421818930,64560297452078,2.977968,0.27707103,1.2329006
