Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524421914060,64655427441140,8.130709,1.2449849,5.3247046
android.sensor.accelerometer,1524421914080,64655447431765,8.0445175,1.340753,5.133168
android.sensor.accelerometer,1524421914100,64655467455203,8.149862,1.283292,5.104438
android.sensor.accelerometer,1524421914120,64655487445828,8.073248,1.3024458,5.267244
android.sensor.accelerometer,1524421914140,64655507436453,8.034941,1.292869,5.267244
android.sensor.accelerometer,1524421914160,64655527458328,7.9966335,1.292869,5.2863975
android.sensor.accelerometer,1524421914180,64655547448953,7.9870567,1.3694834,5.5641246
android.sensor.accelerometer,1524421914200,64655567439578,8.121132,1.2545617,5.506664
android.sensor.accelerometer,1524421914220,64655587463015,7.8912888,1.3790601,5.48751
android.sensor.accelerometer,1524421914240,64655607453640,7.9583263,1.3694834,5.6120086
android.sensor.accelerometer,1524421914260,64655627444265,7.967903,1.4652514,5.650316
android.sensor.accelerometer,1524421914280,64655647434890,8.015787,1.6089035,5.5162406
android.sensor.accelerometer,1524421914300,64655667458328,8.379706,1.6472107,5.3342814
android.sensor.accelerometer,1524421914320,64655687448953,8.63828,1.7238252,5.056554
android.sensor.accelerometer,1524421914340,64655707439578,8.714894,1.7525556,5.171476
android.sensor.accelerometer,1524421914360,64655727461453,8.714894,1.8387469,5.2480903
android.sensor.accelerometer,1524421914380,64655747453640,8.619126,2.2218192,4.9320555
android.sensor.accelerometer,1524421914400,64655767442703,8.695741,2.7581203,4.6926355
android.sensor.accelerometer,1524421914420,64655787434890,9.270349,3.2848446,5.085284
android.sensor.accelerometer,1524421914440,64655807456765,10.745177,3.8881836,6.7803793
android.sensor.accelerometer,1524421914460,64655827447390,11.81778,4.6351743,7.536947
android.sensor.accelerometer,1524421914480,64655847438015,13.187263,5.4300494,7.374141
android.sensor.accelerometer,1524421914500,64655867459890,14.853627,5.9663506,7.249643
android.sensor.accelerometer,1524421914520,64655887452078,15.974113,5.8801594,7.479486
android.sensor.accelerometer,1524421914540,64655907442703,15.696386,5.659893,7.067683
android.sensor.accelerometer,1524421914560,64655927433328,14.901511,4.960786,7.4124484
android.sensor.accelerometer,1524421914580,64655947455203,14.537593,3.7828386,9.394848
android.sensor.accelerometer,1524421914600,64655967445828,13.685257,2.6144683,10.898406
android.sensor.accelerometer,1524421914620,64655987438015,12.401965,1.7046716,11.36767
android.sensor.accelerometer,1524421914640,64656007459890,11.310209,0.545878,11.741165
android.sensor.accelerometer,1524421914660,64656027450515,9.270349,-0.15322891,12.124237
android.sensor.accelerometer,1524421914680,64656047441140,7.9008656,-0.62249243,12.871228
android.sensor.accelerometer,1524421914700,64656067433328,8.293514,-1.2545617,13.934254
android.sensor.accelerometer,1524421914720,64656087455203,8.963891,-1.934515,13.934254
android.sensor.accelerometer,1524421914740,64656107445828,7.517793,-2.5378537,12.133814
android.sensor.accelerometer,1524421914760,64656127436453,4.721366,-2.633622,11.099519
android.sensor.accelerometer,1524421914780,64656147458328,2.9975405,-2.5953147,11.549629
android.sensor.accelerometer,1524421914800,64656167450515,2.4037786,-1.7525556,11.089942
android.sensor.accelerometer,1524421914820,64656187441140,3.715801,-0.80445176,10.496181
android.sensor.accelerometer,1524421914840,64656207463015,4.6926355,0.0,9.040505
android.sensor.accelerometer,1524421914860,64656227453640,4.0222588,0.49799395,8.418014
android.sensor.accelerometer,1524421914880,64656247444265,2.4612393,0.6512229,8.0924015
android.sensor.accelerometer,1524421914900,64656267436453,1.5227122,0.62249243,8.647857
android.sensor.accelerometer,1524421914920,64656287458328,1.934515,0.30645782,9.931149
android.sensor.accelerometer,1524421914940,64656307448953,2.4612393,-0.05746084,11.18571
android.sensor.accelerometer,1524421914960,64656327439578,2.6719291,-0.12449849,11.760319
android.sensor.accelerometer,1524421914980,64656347461453,2.480393,0.21068975,9.9790325
android.sensor.accelerometer,1524421915000,64656367452078,2.2026656,0.33518824,7.785944
android.sensor.accelerometer,1524421915021,64656387442703,0.9576807,-0.1436521,6.981492
android.sensor.accelerometer,1524421915041,64656407434890,-0.90021986,-0.1340753,8.389283
android.sensor.accelerometer,1524421915060,64656427456765,-1.9919758,-0.019153614,10.218452
android.sensor.accelerometer,1524421915080,64656447447390,-1.3215994,0.08619126,10.812215
android.sensor.accelerometer,1524421915100,64656467438015,-0.41180268,-0.1340753,9.011775
android.sensor.accelerometer,1524421915121,64656487461453,0.18195933,-0.90979666,6.646304
android.sensor.accelerometer,1524421915141,64656507452078,-0.19153613,-2.4037786,6.2823853
android.sensor.accelerometer,1524421915160,64656527442703,-2.4899697,-3.3039982,8.1881695
android.sensor.accelerometer,1524421915180,64656547433328,-3.371036,-4.098873,8.992621
android.sensor.accelerometer,1524421915201,64656567455203,-2.9879637,-4.9416323,7.4028716
