Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524421914053,64655417461453,-0.13770647,0.015812684,-0.11398745
android.sensor.gyroscope,1524421914070,64655437452078,-0.12952088,0.020996312,-0.11616912
android.sensor.gyroscope,1524421914090,64655457442703,-0.12189379,0.025359634,-0.11780973
android.sensor.gyroscope,1524421914110,64655477434890,-0.12597786,0.027262043,-0.11889183
android.sensor.gyroscope,1524421914130,64655497456765,-0.106901415,0.032166418,-0.103620194
android.sensor.gyroscope,1524421914150,64655517447390,-0.10880382,0.0286234,-0.108524576
android.sensor.gyroscope,1524421914170,64655537438015,-0.1229759,0.023439772,-0.1227141
android.sensor.gyroscope,1524421914190,64655557459890,-0.11861257,0.027803095,-0.12625712
android.sensor.gyroscope,1524421914210,64655577452078,-0.07253588,0.019355701,-0.08180358
android.sensor.gyroscope,1524421914230,64655597442703,-0.0752586,0.021537364,-0.095434606
android.sensor.gyroscope,1524421914250,64655617433328,-0.08452629,0.016632987,-0.1044405
android.sensor.gyroscope,1524421914270,64655637455203,-0.0659909,0.017715093,-0.08752826
android.sensor.gyroscope,1524421914290,64655657445828,-0.057805303,0.025080381,-0.09135053
android.sensor.gyroscope,1524421914310,64655677438015,-0.05126032,0.02698279,-0.0946143
android.sensor.gyroscope,1524421914330,64655697459890,-0.07990117,0.019896753,-0.12789772
android.sensor.gyroscope,1524421914350,64655717450515,-0.07934267,0.020437805,-0.13308136
android.sensor.gyroscope,1524421914370,64655737441140,-0.09271189,0.0155334305,-0.14316936
android.sensor.gyroscope,1524421914390,64655757431765,-0.08970992,0.016632987,-0.14479251
android.sensor.gyroscope,1524421914410,64655777453640,-0.13007939,0.006544985,-0.19989257
android.sensor.gyroscope,1524421914430,64655797445828,-0.16634732,-0.0095294975,-0.24160592
android.sensor.gyroscope,1524421914450,64655817436453,-0.24242623,-0.0376293,-0.33515558
android.sensor.gyroscope,1524421914470,64655837458328,-0.32805207,-0.07990117,-0.42704716
android.sensor.gyroscope,1524421914490,64655857448953,-0.41777948,-0.12407546,-0.52578044
android.sensor.gyroscope,1524421914510,64655877439578,-0.52768284,-0.1870644,-0.64739496
android.sensor.gyroscope,1524421914530,64655897463015,-0.6981317,-0.28660053,-0.8232893
android.sensor.gyroscope,1524421914550,64655917453640,-0.77366954,-0.35260886,-0.8832937
android.sensor.gyroscope,1524421914570,64655937444265,-0.7752927,-0.36077702,-0.8748463
android.sensor.gyroscope,1524421914590,64655957436453,-0.7782947,-0.37496653,-0.8522094
android.sensor.gyroscope,1524421914610,64655977458328,-0.7382045,-0.33215362,-0.80693555
android.sensor.gyroscope,1524421914630,64655997448953,-0.6962118,-0.25987953,-0.7521147
android.sensor.gyroscope,1524421914650,64656017439578,-0.6122266,-0.18216002,-0.6471332
android.sensor.gyroscope,1524421914670,64656037461453,-0.5595875,-0.13552481,-0.5685934
android.sensor.gyroscope,1524421914690,64656057452078,-0.4750437,-0.02453933,-0.45704937
android.sensor.gyroscope,1524421914710,64656077442703,-0.3065147,0.1693493,-0.25987953
android.sensor.gyroscope,1524421914730,64656097434890,-0.17833774,0.3105988,-0.08806931
android.sensor.gyroscope,1524421914750,64656117456765,-0.1521578,0.35505232,-0.015271631
android.sensor.gyroscope,1524421914770,64656137447390,-0.1521578,0.39760345,0.020437805
android.sensor.gyroscope,1524421914790,64656157438015,-0.10143854,0.4712389,0.12952088
android.sensor.gyroscope,1524421914810,64656177461453,0.015812684,0.6315823,0.32506758
android.sensor.gyroscope,1524421914830,64656197452078,0.0054454273,0.70629984,0.3504272
android.sensor.gyroscope,1524421914850,64656217442703,-0.09189159,0.6741334,0.25933847
android.sensor.gyroscope,1524421914870,64656237433328,-0.188705,0.6422114,0.16660912
android.sensor.gyroscope,1524421914890,64656257455203,-0.24843016,0.6452133,0.11316715
android.sensor.gyroscope,1524421914910,64656277445828,-0.25851816,0.74556977,0.12733923
android.sensor.gyroscope,1524421914930,64656297438015,-0.26398104,0.8456644,0.15707964
android.sensor.gyroscope,1524421914950,64656317459890,-0.29152235,0.9037489,0.17371263
android.sensor.gyroscope,1524421914970,64656337450515,-0.30815533,0.9779254,0.2159845
android.sensor.gyroscope,1524421914990,64656357441140,-0.3220656,1.0725572,0.28061405
android.sensor.gyroscope,1524421915010,64656377431765,-0.3455054,1.158183,0.3212453
android.sensor.gyroscope,1524421915031,64656397455203,-0.37742746,1.2427268,0.36105627
android.sensor.gyroscope,1524421915051,64656417445828,-0.4036074,1.3449856,0.40168753
android.sensor.gyroscope,1524421915070,64656437436453,-0.41859975,1.4742447,0.4213225
android.sensor.gyroscope,1524421915091,64656457458328,-0.4374144,1.593695,0.40687114
android.sensor.gyroscope,1524421915111,64656477448953,-0.44614106,1.6684126,0.36377898
android.sensor.gyroscope,1524421915131,64656497441140,-0.46823692,1.6861452,0.28687978
android.sensor.gyroscope,1524421915150,64656517463015,-0.48104766,1.6700532,0.2170666
android.sensor.gyroscope,1524421915171,64656537453640,-0.5017822,1.6793209,0.19607028
android.sensor.gyroscope,1524421915190,64656557444265,-0.52141714,1.6992351,0.1968906
android.sensor.gyroscope,1524421915211,64656577434890,-0.5383119,1.7638646,0.21760765
android.sensor.gyroscope,1524421915230,64656597458328,-0.5664117,1.7990505,0.24788912
android.sensor.gyroscope,1524421915251,64656617448953,-0.6225764,1.7851402,0.2737898
android.sensor.gyroscope,1524421915270,64656637439578,-0.7158468,1.7439505,0.32642892
