Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524421794022,64535387447390,9.77792,0.15322891,0.20111294
android.sensor.accelerometer,1524421794040,64535407438015,9.749189,0.17238252,0.21068975
android.sensor.accelerometer,1524421794060,64535427461453,9.701305,0.25857377,-0.16280572
android.sensor.accelerometer,1524421794080,64535447452078,9.682152,0.34476504,-0.29688102
android.sensor.accelerometer,1524421794100,64535467442703,9.595961,0.34476504,-0.19153613
android.sensor.accelerometer,1524421794120,64535487433328,9.682152,0.2873042,-0.05746084
android.sensor.accelerometer,1524421794140,64535507455203,9.749189,0.34476504,0.0
android.sensor.accelerometer,1524421794160,64535527445828,9.844957,0.37349546,-0.05746084
android.sensor.accelerometer,1524421794180,64535547436453,9.950302,0.4213795,-0.18195933
android.sensor.accelerometer,1524421794200,64535567459890,9.940725,0.39264908,-0.34476504
android.sensor.accelerometer,1524421794220,64535587450515,10.0269165,0.30645782,-0.2777274
android.sensor.accelerometer,1524421794240,64535607441140,10.170568,0.18195933,-0.1436521
android.sensor.accelerometer,1524421794260,64535627431765,10.304645,0.05746084,0.08619126
android.sensor.accelerometer,1524421794280,64535647455203,10.275913,-0.009576807,0.076614454
android.sensor.accelerometer,1524421794300,64535667445828,10.132261,0.038307227,0.10534488
android.sensor.accelerometer,1524421794320,64535687436453,10.01734,0.08619126,-0.10534488
android.sensor.accelerometer,1524421794340,64535707458328,9.892841,0.22026655,-0.6703765
android.sensor.accelerometer,1524421794360,64535727448953,9.615114,0.25857377,-1.3311762
android.sensor.accelerometer,1524421794380,64535747439578,8.686164,0.5267244,-1.6376339
android.sensor.accelerometer,1524421794400,64535767463015,8.599973,0.5554548,-0.9576807
android.sensor.accelerometer,1524421794420,64535787453640,8.647857,1.0342951,-0.5363012
android.sensor.accelerometer,1524421794440,64535807444265,9.002198,1.292869,-0.5554548
android.sensor.accelerometer,1524421794460,64535827434890,9.433155,1.7238252,-0.5267244
android.sensor.accelerometer,1524421794480,64535847458328,9.691729,2.1739352,-0.10534488
android.sensor.accelerometer,1524421794500,64535867448953,9.739613,2.7102363,1.5131354
android.sensor.accelerometer,1524421794520,64535887439578,10.754754,3.41892,5.085284
android.sensor.accelerometer,1524421794540,64535907461453,13.292608,3.667917,8.437167
android.sensor.accelerometer,1524421794560,64535927452078,16.136919,4.8937483,10.132261
android.sensor.accelerometer,1524421794580,64535947442703,18.47366,5.401319,10.342952
android.sensor.accelerometer,1524421794600,64535967434890,19.622877,5.717354,12.258312
android.sensor.accelerometer,1524421794620,64535987456765,20.618866,5.363012,14.298173
android.sensor.accelerometer,1524421794640,64536007447390,22.093693,4.405331,14.164097
android.sensor.accelerometer,1524421794660,64536027438015,23.702597,2.882619,12.938266
android.sensor.accelerometer,1524421794680,64536047461453,25.474306,0.5554548,13.196839
android.sensor.accelerometer,1524421794700,64536067452078,27.05448,-3.217807,14.671668
android.sensor.accelerometer,1524421794720,64536087442703,27.571627,-7.4603324,13.962984
android.sensor.accelerometer,1524421794740,64536107433328,27.744009,-10.668563,12.5743475
android.sensor.accelerometer,1524421794760,64536127455203,28.529308,-13.666103,11.712435
android.sensor.accelerometer,1524421794780,64536147445828,32.206802,-18.598158,10.43872
android.sensor.accelerometer,1524421794800,64536167438015,33.298557,-21.423317,7.575254
android.sensor.accelerometer,1524421794820,64536187459890,32.704796,-23.24291,3.3423057
android.sensor.accelerometer,1524421794840,64536207450515,31.976957,-24.305935,1.0821792
android.sensor.accelerometer,1524421794860,64536227441140,32.283417,-25.177425,0.009576807
android.sensor.accelerometer,1524421794880,64536247433328,30.425516,-25.416845,-2.528277
android.sensor.accelerometer,1524421794900,64536267455203,27.791893,-25.665842,-4.912902
android.sensor.accelerometer,1524421794920,64536287445828,22.965183,-23.472754,-9.232041
android.sensor.accelerometer,1524421794940,64536307436453,18.454506,-21.068975,-11.022904
android.sensor.accelerometer,1524421794960,64536327458328,14.891934,-18.904617,-7.5944076
android.sensor.accelerometer,1524421794980,64536347448953,12.612655,-15.361198,-7.192182
android.sensor.accelerometer,1524421795000,64536367441140,11.731588,-12.373235,-8.331821
android.sensor.accelerometer,1524421795020,64536387463015,11.089942,-9.988609,-11.683704
android.sensor.accelerometer,1524421795040,64536407453640,9.356541,-7.1059904,-13.88637
android.sensor.accelerometer,1524421795060,64536427444265,8.226477,-5.315128,-12.98615
android.sensor.accelerometer,1524421795080,64536447436453,6.339846,-4.0701427,-8.561666
android.sensor.accelerometer,1524421795100,64536467458328,6.0716953,-3.5817258,-6.0142345
android.sensor.accelerometer,1524421795120,64536487448953,5.353435,-2.0398598,-4.999093
android.sensor.accelerometer,1524421795140,64536507439578,5.094861,-0.7565677,-6.157887
android.sensor.accelerometer,1524421795160,64536527461453,4.5872903,0.8523358,-7.5848308
android.sensor.accelerometer,1524421795180,64536547452078,4.414908,1.685518,-8.236053
android.sensor.accelerometer,1524421795200,64536567444265,4.3957543,2.5091233,-8.0924015
