Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524421787970,64529337455203,-0.05454154,-0.05534439,0.004363323
android.sensor.gyroscope,1524421787990,64529357445828,-0.07361799,-0.061348323,-0.0054454273
android.sensor.gyroscope,1524421788010,64529377436453,-0.08126253,-0.06462954,-0.008988446
android.sensor.gyroscope,1524421788030,64529397459890,-0.0850848,-0.07035422,-0.010349803
android.sensor.gyroscope,1524421788050,64529417450515,-0.092170835,-0.07225663,-0.013351769
android.sensor.gyroscope,1524421788070,64529437441140,-0.09789552,-0.07335619,-0.016074482
android.sensor.gyroscope,1524421788090,64529457433328,-0.09953613,-0.07089528,-0.016074482
android.sensor.gyroscope,1524421788110,64529477453640,-0.11562806,-0.07826056,-0.020437805
android.sensor.gyroscope,1524421788130,64529497445828,-0.10798352,-0.07007497,-0.01881465
android.sensor.gyroscope,1524421788150,64529517436453,-0.10307915,-0.06517059,-0.018256145
android.sensor.gyroscope,1524421788170,64529537458328,-0.09407324,-0.05808456,-0.009808751
android.sensor.gyroscope,1524421788190,64529557448953,-0.105260804,-0.06270968,-0.013892821
android.sensor.gyroscope,1524421788210,64529577439578,-0.10061823,-0.059445914,-0.0155334305
android.sensor.gyroscope,1524421788230,64529597463015,-0.11126474,-0.06653195,-0.01144936
android.sensor.gyroscope,1524421788250,64529617453640,-0.10089748,-0.060528018,-0.002443461
android.sensor.gyroscope,1524421788270,64529637444265,-0.1055226,-0.06352998,0.0013613568
android.sensor.gyroscope,1524421788290,64529657436453,-0.09979793,-0.06244788,0.006265732
android.sensor.gyroscope,1524421788310,64529677456765,-0.13716543,-0.0853466,-0.005986479
android.sensor.gyroscope,1524421788330,64529697447390,-0.17289232,-0.10826277,-0.0095294975
android.sensor.gyroscope,1524421788350,64529717439578,-0.20998056,-0.13062043,-0.020996312
android.sensor.gyroscope,1524421788370,64529737461453,-0.22607249,-0.1420698,-0.0286234
android.sensor.gyroscope,1524421788390,64529757452078,-0.21624629,-0.14234905,-0.0286234
android.sensor.gyroscope,1524421788410,64529777442703,-0.18434167,-0.13362241,-0.023177972
android.sensor.gyroscope,1524421788430,64529797434890,-0.17533578,-0.14042918,-0.02453933
android.sensor.gyroscope,1524421788450,64529817456765,-0.16770868,-0.15734144,-0.02617994
android.sensor.gyroscope,1524421788470,64529837447390,-0.15570082,-0.18270107,-0.02480113
android.sensor.gyroscope,1524421788490,64529857438015,-0.10089748,-0.19170697,-0.023439772
android.sensor.gyroscope,1524421788510,64529877459890,0.010349803,-0.15433946,-0.02289872
android.sensor.gyroscope,1524421788530,64529897450515,0.1870644,-0.09653416,-0.017453292
android.sensor.gyroscope,1524421788550,64529917442703,0.39132026,-0.037088245,-0.019076448
android.sensor.gyroscope,1524421788570,64529937433328,0.5953143,0.011990412,-0.032166418
android.sensor.gyroscope,1524421788590,64529957455203,1.0867293,0.19278906,0.05808456
android.sensor.gyroscope,1524421788610,64529977445828,1.8901218,0.5023232,0.26316074
android.sensor.gyroscope,1524421788630,64529997438015,2.3608196,0.6441312,0.46359435
android.sensor.gyroscope,1524421788650,64530017459890,2.698436,0.72267103,0.650938
android.sensor.gyroscope,1524421788670,64530037450515,2.9406006,0.7878416,0.8418421
android.sensor.gyroscope,1524421788690,64530057441140,2.994601,0.79302526,0.99838066
android.sensor.gyroscope,1524421788710,64530077433328,2.879514,0.7360228,1.1178136
android.sensor.gyroscope,1524421788730,64530097455203,2.6518009,0.6457718,1.2173672
android.sensor.gyroscope,1524421788750,64530117445828,2.3880992,0.5391322,1.3013524
android.sensor.gyroscope,1524421788770,64530137436453,2.0742016,0.4082325,1.3531712
android.sensor.gyroscope,1524421788790,64530157458328,1.7567786,0.27679175,1.4038905
android.sensor.gyroscope,1524421788810,64530177450515,1.4859734,0.17671458,1.4707017
android.sensor.gyroscope,1524421788830,64530197439578,1.2064588,0.08290314,1.5473391
android.sensor.gyroscope,1524421788850,64530217463015,0.95829046,-0.025621433,1.5999608
android.sensor.gyroscope,1524421788870,64530237453640,0.7360228,-0.13526301,1.6408713
android.sensor.gyroscope,1524421788890,64530257444265,0.54785883,-0.23888321,1.6782387
android.sensor.gyroscope,1524421788910,64530277436453,0.38777724,-0.3313333,1.7085028
android.sensor.gyroscope,1524421788930,64530297458328,0.27761206,-0.40578905,1.7166884
android.sensor.gyroscope,1524421788950,64530317448953,0.20097466,-0.45350635,1.708241
android.sensor.gyroscope,1524421788970,64530337439578,0.15489797,-0.5134933,1.6929693
android.sensor.gyroscope,1524421788990,64530357461453,0.110444434,-0.5846853,1.6910495
android.sensor.gyroscope,1524421789010,64530377452078,0.050178215,-0.6803992,1.6915905
android.sensor.gyroscope,1524421789030,64530397444265,0.012531464,-0.7807556,1.6954129
android.sensor.gyroscope,1524421789050,64530417434890,-0.016894788,-0.8778308,1.6845045
android.sensor.gyroscope,1524421789070,64530437456765,-0.046617743,-0.98691386,1.6528791
android.sensor.gyroscope,1524421789090,64530457447390,-0.0853466,-1.0831863,1.6195958
android.sensor.gyroscope,1524421789110,64530477438015,-0.11562806,-1.1529994,1.5958767
android.sensor.gyroscope,1524421789130,64530497461453,-0.14425147,-1.1982733,1.5838863
android.sensor.gyroscope,1524421789150,64530517452078,-0.20343557,-1.2639849,1.577062
android.sensor.gyroscope,1524421789170,64530537442703,-0.27214918,-1.342804,1.5639721
android.sensor.gyroscope,1524421789190,64530557433328,-0.33569664,-1.4145195,1.5337081
android.sensor.gyroscope,1524421789210,64530577455203,-0.3896971,-1.4805279,1.475065
android.sensor.gyroscope,1524421789230,64530597445828,-0.435512,-1.5252433,1.3962634
android.sensor.gyroscope,1524421789250,64530617438015,-0.48022735,-1.5683354,1.2997118
android.sensor.gyroscope,1524421789270,64530637459890,-0.52932346,-1.6103281,1.194451
android.sensor.gyroscope,1524421789290,64530657450515,-0.62121505,-1.6697739,1.082366
android.sensor.gyroscope,1524421789310,64530677441140,-0.77284926,-1.7534974,0.96047217
