Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524421983862,64725227458328,3.1986535,0.7757214,9.270349
android.sensor.accelerometer,1524421983880,64725247448953,3.323152,0.7278373,9.356541
android.sensor.accelerometer,1524421983900,64725267439578,3.3518825,0.7565677,9.279925
android.sensor.accelerometer,1524421983920,64725287461453,3.2561142,0.7661445,9.203311
android.sensor.accelerometer,1524421983940,64725307453640,3.1603463,0.78529817,9.270349
android.sensor.accelerometer,1524421983960,64725327444265,3.1411927,0.7374141,9.299079
android.sensor.accelerometer,1524421983980,64725347434890,3.2273839,0.7374141,9.270349
android.sensor.accelerometer,1524421984000,64725367456765,3.1986535,0.6895301,9.3661175
android.sensor.accelerometer,1524421984020,64725387447390,3.2752678,0.6799533,9.481039
android.sensor.accelerometer,1524421984040,64725407439578,3.2848446,0.78529817,9.356541
android.sensor.accelerometer,1524421984060,64725427461453,3.2465374,0.78529817,9.107543
android.sensor.accelerometer,1524421984081,64725447452078,3.1986535,0.79487497,9.193734
android.sensor.accelerometer,1524421984100,64725467442703,3.1794999,0.78529817,8.973468
android.sensor.accelerometer,1524421984120,64725487434890,3.0933087,0.6991069,9.021352
android.sensor.accelerometer,1524421984140,64725507456765,2.9113493,0.5746084,9.002198
android.sensor.accelerometer,1524421984160,64725527447390,2.930503,0.545878,8.743625
android.sensor.accelerometer,1524421984180,64725547438015,2.6048915,0.62249243,8.599973
android.sensor.accelerometer,1524421984200,64725567459890,2.5091233,0.5650316,8.772355
android.sensor.accelerometer,1524421984220,64725587452078,2.078167,0.50757074,8.485051
android.sensor.accelerometer,1524421984240,64725607442703,1.4652514,0.48841715,7.9966335
android.sensor.accelerometer,1524421984260,64725627433328,1.0151415,0.47884035,7.680599
android.sensor.accelerometer,1524421984280,64725647455203,0.15322891,0.50757074,7.441179
android.sensor.accelerometer,1524421984300,64725667445828,-1.0055647,0.45968673,8.0445175
android.sensor.accelerometer,1524421984320,64725687436453,-2.1643584,0.35434186,9.586384
android.sensor.accelerometer,1524421984340,64725707459890,-2.4516625,0.22026655,11.434708
android.sensor.accelerometer,1524421984360,64725727450515,-1.6376339,0.12449849,12.488156
android.sensor.accelerometer,1524421984380,64725747441140,0.20111294,0.06703765,14.595054
android.sensor.accelerometer,1524421984400,64725767431765,3.964798,-0.095768064,18.02355
android.sensor.accelerometer,1524421984420,64725787455203,8.303091,-0.38307226,21.289242
android.sensor.accelerometer,1524421984440,64725807444265,11.597513,-0.59376204,23.022644
android.sensor.accelerometer,1524421984460,64725827436453,14.652514,-0.39264908,21.126436
android.sensor.accelerometer,1524421984480,64725847458328,18.138472,0.02873042,18.195932
android.sensor.accelerometer,1524421984500,64725867448953,20.494366,0.5267244,16.912642
android.sensor.accelerometer,1524421984520,64725887439578,20.072987,-0.2777274,16.060305
android.sensor.accelerometer,1524421984540,64725907463015,19.699492,-1.4269443,14.288596
android.sensor.accelerometer,1524421984560,64725927453640,19.498379,-2.5474305,11.63582
android.sensor.accelerometer,1524421984580,64725947444265,18.47366,-3.1124623,9.902418
android.sensor.accelerometer,1524421984600,64725967434890,17.592594,-3.7062242,9.500193
android.sensor.accelerometer,1524421984620,64725987458328,16.577452,-4.098873,8.686164
android.sensor.accelerometer,1524421984640,64726007448953,14.939818,-3.9073372,6.5601125
android.sensor.accelerometer,1524421984660,64726027439578,13.043611,-3.1507695,4.8937483
android.sensor.accelerometer,1524421984680,64726047461453,12.794614,-2.4420857,4.232949
android.sensor.accelerometer,1524421984700,64726067452078,12.344504,-1.8100165,2.8060043
android.sensor.accelerometer,1524421984720,64726087442703,11.348516,-1.4269443,1.3790601
android.sensor.accelerometer,1524421984740,64726107434890,10.304645,-1.3024458,0.4405331
android.sensor.accelerometer,1524421984760,64726127456765,9.346964,-1.3120226,-0.06703765
android.sensor.accelerometer,1524421984780,64726147447390,8.1881695,-1.1875241,0.12449849
android.sensor.accelerometer,1524421984800,64726167438015,7.1059904,-1.0247183,-0.23942018
android.sensor.accelerometer,1524421984820,64726187459890,6.244078,-0.6703765,-1.5514427
android.sensor.accelerometer,1524421984840,64726207452078,5.861006,-0.45968673,-2.087744
android.sensor.accelerometer,1524421984860,64726227442703,5.161899,-0.20111294,-2.873042
android.sensor.accelerometer,1524421984880,64726247433328,4.2042184,-0.1436521,-2.8921957
android.sensor.accelerometer,1524421984900,64726267455203,3.217807,-0.1340753,-1.292869
android.sensor.accelerometer,1524421984920,64726287445828,2.6719291,0.038307227,-0.82360536
android.sensor.accelerometer,1524421984940,64726307438015,1.9440918,0.22026655,-1.1013328
android.sensor.accelerometer,1524421984960,64726327459890,0.038307227,0.50757074,-1.283292
android.sensor.accelerometer,1524421984980,64726347450515,-1.1204864,0.8619126,-1.5035586
android.sensor.accelerometer,1524421985000,64726367441140,-1.4269443,1.0151415,-2.0207062
android.sensor.accelerometer,1524421985020,64726387431765,-1.7717092,1.0247183,-2.5474305
android.sensor.accelerometer,1524421985040,64726407455203,-2.6144683,1.436521,-2.3463178
android.sensor.accelerometer,1524421985060,64726427445828,-2.566584,1.9632454,-2.815581
android.sensor.accelerometer,1524421985080,64726447436453,-1.8866309,2.1452048,-3.4284968
android.sensor.accelerometer,1524421985100,64726467458328,-1.532289,2.1164744,-3.7349546
android.sensor.accelerometer,1524421985120,64726487448953,-2.2218192,2.1260512,-4.003105
android.sensor.accelerometer,1524421985140,64726507441140,-2.4995465,1.9728222,-3.0454245
android.sensor.accelerometer,1524421985160,64726527463015,-1.8483237,1.1204864,-1.733402
android.sensor.accelerometer,1524421985180,64726547453640,-0.9768343,0.047884032,-0.79487497
android.sensor.accelerometer,1524421985200,64726567444265,-1.1587936,-0.18195933,-0.095768064
android.sensor.accelerometer,1524421985220,64726587434890,-2.4995465,-0.10534488,-0.6512229
android.sensor.accelerometer,1524421985240,64726607458328,-2.384625,-0.89064306,-0.7182605
android.sensor.accelerometer,1524421985260,64726627448953,-1.2641385,-2.5570073,0.94810385
android.sensor.accelerometer,1524421985280,64726647439578,-1.934515,-3.3327289,3.6104562
android.sensor.accelerometer,1524421985300,64726667461453,-4.0414124,-3.2273839,5.21936
android.sensor.accelerometer,1524421985320,64726687452078,-2.2409728,-4.367024,5.104438
android.sensor.accelerometer,1524421985340,64726707442703,-0.45010993,-5.2863975,7.192182
android.sensor.accelerometer,1524421985360,64726727434890,-2.480393,-4.960786,10.409989
android.sensor.accelerometer,1524421985380,64726747456765,-3.1028855,-5.3725886,12.488156
android.sensor.accelerometer,1524421985400,64726767447390,-0.009576807,-7.1251445,11.836933
android.sensor.accelerometer,1524421985420,64726787438015,0.93852705,-6.7803793,12.813767
android.sensor.accelerometer,1524421985440,64726807461453,0.545878,-5.7748146,17.410635
android.sensor.accelerometer,1524421985460,64726827452078,1.4269443,-7.019799,19.79526
android.sensor.accelerometer,1524421985480,64726847442703,2.3942018,-8.781932,19.833567
android.sensor.accelerometer,1524421985500,64726867433328,2.4612393,-7.929596,23.491907
android.sensor.accelerometer,1524421985520,64726887455203,4.721366,-7.0006456,26.90125
android.sensor.accelerometer,1524421985540,64726907445828,4.9703627,-7.690176,26.250027
android.sensor.accelerometer,1524421985560,64726927438015,7.4028716,-8.973468,26.317064
android.sensor.accelerometer,1524421985580,64726947459890,11.147403,-7.795521,27.600357
android.sensor.accelerometer,1524421985600,64726967450515,16.16565,-5.985504,24.756046
android.sensor.accelerometer,1524421985620,64726987441140,17.803284,-5.0374002,20.475212
android.sensor.accelerometer,1524421985640,64727007431765,16.701952,-4.462792,21.978771
android.sensor.accelerometer,1524421985660,64727027455203,21.672314,-3.4380736,24.296358
android.sensor.accelerometer,1524421985680,64727047444265,26.90125,-0.32561144,12.5264635
android.sensor.accelerometer,1524421985700,64727067436453,21.557392,0.22984336,8.676587
android.sensor.accelerometer,1524421985720,64727087458328,15.677233,-0.37349546,14.010868
android.sensor.accelerometer,1524421985740,64727107450515,16.759413,-0.9672575,16.778566
