Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524421997982,64739337453640,0.0,0.0,0.0
android.sensor.gyroscope,1524421997990,64739357444265,-0.0376293,-0.01144936,0.0035430184
android.sensor.gyroscope,1524421998010,64739377434890,-0.037350047,-0.013351769,0.0013613568
android.sensor.gyroscope,1524421998030,64739397456765,-0.031346112,-0.011170107,0.02125811
android.sensor.gyroscope,1524421998050,64739417447390,-0.031346112,-0.010629055,0.021537364
android.sensor.gyroscope,1524421998070,64739437439578,-0.049898963,-0.025621433,0.0016231562
android.sensor.gyroscope,1524421998090,64739457461453,-0.032724924,-0.012810716,-0.017994344
android.sensor.gyroscope,1524421998110,64739477452078,-0.033265974,-0.017715093,-0.012269665
android.sensor.gyroscope,1524421998130,64739497442703,-0.04935791,-0.02698279,-0.0027227136
android.sensor.gyroscope,1524421998150,64739517433328,-0.032724924,-0.014451326,-0.017174039
android.sensor.gyroscope,1524421998170,64739537456765,-0.04145157,-0.0155334305,-0.034627333
android.sensor.gyroscope,1524421998191,64739557447390,-0.053441983,-0.017453292,-0.053983033
android.sensor.gyroscope,1524421998210,64739577438015,-0.04363323,-0.01308997,-0.05126032
android.sensor.gyroscope,1524421998230,64739597459890,-0.053983033,-0.023998277,-0.050981067
android.sensor.gyroscope,1524421998250,64739617450515,-0.050178215,-0.019355701,-0.042533673
android.sensor.gyroscope,1524421998270,64739637441140,-0.04935791,-0.019355701,-0.043074727
android.sensor.gyroscope,1524421998290,64739657433328,-0.040072758,-0.017174039,-0.035168383
android.sensor.gyroscope,1524421998310,64739677455203,-0.026720991,-0.010629055,-0.027262043
android.sensor.gyroscope,1524421998330,64739697445828,-0.030543262,-0.014992379,-0.019896753
android.sensor.gyroscope,1524421998350,64739717436453,-0.04553564,-0.032166418,-0.0054454273
android.sensor.gyroscope,1524421998370,64739737458328,0.0,0.0,0.0
android.sensor.gyroscope,1524421998390,64739757450515,-0.014451326,-0.0283616,0.060528018
android.sensor.gyroscope,1524421998410,64739777441140,-0.006544985,-0.019896753,0.06517059
android.sensor.gyroscope,1524421998430,64739797431765,-0.006265732,0.038711403,0.07826056
android.sensor.gyroscope,1524421998450,64739817453640,-0.018256145,0.16006415,0.013351769
android.sensor.gyroscope,1524421998470,64739837445828,-0.040893063,0.39132026,-0.09897762
android.sensor.gyroscope,1524421998490,64739857436453,-0.066811204,0.5205968,-0.15407766
android.sensor.gyroscope,1524421998510,64739877458328,-0.089448124,0.49087384,-0.16362461
android.sensor.gyroscope,1524421998530,64739897448953,-0.095713854,0.33677873,-0.10662217
android.sensor.gyroscope,1524421998550,64739917439578,-0.06462954,0.16660912,0.016894788
android.sensor.gyroscope,1524421998570,64739937463015,-5.410521E-4,-0.0010821042,0.19579104
android.sensor.gyroscope,1524421998590,64739957453640,0.06571165,-0.1521578,0.3403392
android.sensor.gyroscope,1524421998610,64739977444265,0.1128879,-0.30243066,0.47858673
android.sensor.gyroscope,1524421998630,64739997434890,0.124354705,-0.49031535,0.56695276
android.sensor.gyroscope,1524421998650,64740017456765,0.1126261,-0.6757566,0.6203947
android.sensor.gyroscope,1524421998670,64740037447390,0.06435029,-0.81566215,0.5795017
android.sensor.gyroscope,1524421998690,64740057439578,-0.015812684,-0.9154776,0.46549675
android.sensor.gyroscope,1524421998710,64740077461453,-0.11671016,-0.9866521,0.3005108
android.sensor.gyroscope,1524421998730,64740097452078,-0.20725785,-1.0291858,0.13580407
android.sensor.gyroscope,1524421998750,64740117442703,-0.2645221,-1.0810046,0.037088245
android.sensor.gyroscope,1524421998770,64740137433328,-0.30161035,-1.138007,-0.036529742
android.sensor.gyroscope,1524421998790,64740157456765,-0.4079707,-1.2083613,-0.29806733
android.sensor.gyroscope,1524421998810,64740177447390,-0.63186157,-1.2689067,-0.78401935
android.sensor.gyroscope,1524421998830,64740197438015,-0.9552885,-1.2956277,-1.3948846
android.sensor.gyroscope,1524421998850,64740217459890,-1.2331798,-1.2972683,-1.8235898
android.sensor.gyroscope,1524421998870,64740237450515,-1.4597933,-1.3008113,-2.104204
android.sensor.gyroscope,1524421998890,64740257441140,-1.7044188,-1.2942663,-2.3720071
android.sensor.gyroscope,1524421998910,64740277433328,-1.9495851,-1.2798151,-2.61007
android.sensor.gyroscope,1524421998930,64740297455203,-2.1699328,-1.2721705,-2.7529776
android.sensor.gyroscope,1524421998950,64740317445828,-2.3422842,-1.2945281,-2.7900658
android.sensor.gyroscope,1524421998970,64740337438015,-2.5481806,-1.3378996,-2.8219705
android.sensor.gyroscope,1524421998990,64740357458328,-2.776435,-1.3777106,-2.8151462
android.sensor.gyroscope,1524421999010,64740377450515,-2.92779,-1.401988,-2.6880689
android.sensor.gyroscope,1524421999030,64740397441140,-3.011234,-1.3774313,-2.4516292
android.sensor.gyroscope,1524421999050,64740417431765,-3.0627735,-1.3234483,-2.1527414
android.sensor.gyroscope,1524421999070,64740437453640,-3.0712209,-1.2923465,-1.7903239
android.sensor.gyroscope,1524421999090,64740457445828,-3.070139,-1.2956277,-1.4068924
android.sensor.gyroscope,1524421999110,64740477436453,-3.0333123,-1.2907233,-1.0120118
android.sensor.gyroscope,1524421999130,64740497458328,-2.9545107,-1.2907233,-0.59449404
android.sensor.gyroscope,1524421999150,64740517448953,-2.8552365,-1.3452649,-0.18161896
android.sensor.gyroscope,1524421999170,64740537439578,-2.7325225,-1.46852,0.2187072
