Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524422034144,64775507447390,1.283292,0.25857377,9.77792
android.sensor.accelerometer,1524422034160,64775527439578,1.3024458,0.29688102,9.768343
android.sensor.accelerometer,1524422034180,64775547461453,1.2162545,0.29688102,9.77792
android.sensor.accelerometer,1524422034200,64775567452078,1.2162545,0.2873042,9.797073
android.sensor.accelerometer,1524422034220,64775587442703,1.1300632,0.2873042,9.768343
android.sensor.accelerometer,1524422034240,64775607434890,1.1779473,0.29688102,9.787497
android.sensor.accelerometer,1524422034260,64775627456765,1.1875241,0.31603462,9.77792
android.sensor.accelerometer,1524422034280,64775647447390,1.2354081,0.31603462,9.768343
android.sensor.accelerometer,1524422034300,64775667438015,1.3311762,0.35434186,9.730036
android.sensor.accelerometer,1524422034320,64775687461453,1.2449849,0.34476504,9.624691
android.sensor.accelerometer,1524422034340,64775707450515,1.1683705,0.2681506,9.672575
android.sensor.accelerometer,1524422034360,64775727442703,1.1683705,0.18195933,9.749189
android.sensor.accelerometer,1524422034380,64775747433328,1.3311762,0.16280572,9.509769
android.sensor.accelerometer,1524422034400,64775767455203,1.7429788,0.19153613,8.7532015
android.sensor.accelerometer,1524422034420,64775787445828,2.0111294,0.08619126,8.322245
android.sensor.accelerometer,1524422034440,64775807436453,2.0590134,0.095768064,8.360553
android.sensor.accelerometer,1524422034460,64775827459890,2.2601264,0.16280572,8.916007
android.sensor.accelerometer,1524422034480,64775847450515,3.6966474,0.16280572,8.734048
android.sensor.accelerometer,1524422034500,64775867441140,5.851429,0.51714754,6.885724
android.sensor.accelerometer,1524422034520,64775887431765,8.37013,1.1875241,5.5258174
android.sensor.accelerometer,1524422034540,64775907455203,10.907983,2.135628,6.483498
android.sensor.accelerometer,1524422034560,64775927445828,13.972561,2.3750482,7.326257
android.sensor.accelerometer,1524422034580,64775947436453,14.097059,2.6048915,8.628703
android.sensor.accelerometer,1524422034600,64775967458328,14.863204,2.6527755,11.118672
android.sensor.accelerometer,1524422034620,64775987448953,16.203957,2.8060043,13.378799
android.sensor.accelerometer,1524422034640,64776007441140,18.540697,2.27928,14.642938
android.sensor.accelerometer,1524422034660,64776027461453,19.689915,1.3599066,16.079458
android.sensor.accelerometer,1524422034680,64776047453640,21.078552,-0.2681506,20.245369
android.sensor.accelerometer,1524422034700,64776067444265,22.333113,-2.633622,24.813507
android.sensor.accelerometer,1524422034720,64776087434890,21.729774,-5.046977,25.637112
android.sensor.accelerometer,1524422034740,64776107458328,19.278112,-6.991069,27.064056
android.sensor.accelerometer,1524422034760,64776127448953,18.44493,-9.203311,27.839777
android.sensor.accelerometer,1524422034780,64776147439578,16.989256,-11.147403,26.010607
