Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524422021112,64762477433328,0.0,0.0,0.0
android.sensor.gyroscope,1524422021130,64762497455203,0.0,0.0,0.0
android.sensor.gyroscope,1524422021150,64762517445828,0.006806784,0.054803338,-0.0095294975
android.sensor.gyroscope,1524422021170,64762537436453,0.006806784,0.05454154,-0.0109083075
android.sensor.gyroscope,1524422021190,64762557458328,0.0,0.0,0.0
android.sensor.gyroscope,1524422021210,64762577450515,-0.0046251225,0.028902652,-0.026441738
android.sensor.gyroscope,1524422021230,64762597441140,0.0,0.0,0.0
android.sensor.gyroscope,1524422021250,64762617463015,0.0,0.0,0.0
android.sensor.gyroscope,1524422021270,64762637453640,-0.014172073,0.007347836,-0.053983033
android.sensor.gyroscope,1524422021290,64762657444265,0.0,0.0,0.0
android.sensor.gyroscope,1524422021310,64762677434890,-0.009808751,-0.015271631,-0.035168383
android.sensor.gyroscope,1524422021330,64762697458328,-0.016632987,-0.022619467,-0.048799407
android.sensor.gyroscope,1524422021350,64762717448953,-0.02480113,-0.023998277,-0.06981317
android.sensor.gyroscope,1524422021370,64762737439578,-0.029443704,-0.022078415,-0.07934267
android.sensor.gyroscope,1524422021390,64762757463015,-0.025900686,-0.019896753,-0.07089528
android.sensor.gyroscope,1524422021410,64762777453640,-0.025359634,-0.027803095,-0.06843436
android.sensor.gyroscope,1524422021430,64762797442703,-0.027803095,-0.029722957,-0.05508259
android.sensor.gyroscope,1524422021450,64762817434890,-0.020996312,-0.029164452,-0.016353736
android.sensor.gyroscope,1524422021470,64762837456765,-0.020176006,-0.032724924,-0.008988446
android.sensor.gyroscope,1524422021490,64762857447390,-0.021816615,-0.059986968,0.02480113
android.sensor.gyroscope,1524422021510,64762877439578,-0.02617994,-0.118350774,0.047438048
android.sensor.gyroscope,1524422021530,64762897461453,-0.02453933,-0.23588125,0.09325294
android.sensor.gyroscope,1524422021550,64762917452078,0.021816615,-0.61194736,0.3836932
android.sensor.gyroscope,1524422021570,64762937442703,0.16524777,-0.87620765,0.8966629
android.sensor.gyroscope,1524422021590,64762957434890,0.4183205,-1.0815456,1.8061365
android.sensor.gyroscope,1524422021610,64762977455203,0.8042128,-1.1464545,3.0622325
android.sensor.gyroscope,1524422021630,64762997445828,1.3149834,-1.0690142,4.5116763
android.sensor.gyroscope,1524422021650,64763017438015,1.9754858,-0.8966629,6.1001873
android.sensor.gyroscope,1524422021670,64763037459890,2.6981568,-0.6907664,7.4023776
android.sensor.gyroscope,1524422021690,64763057450515,3.1426747,-0.5655914,7.8607883
android.sensor.gyroscope,1524422021710,64763077441140,3.2506757,-0.5099503,7.7830687
android.sensor.gyroscope,1524422021730,64763097433328,3.1764991,-0.45596728,7.5640826
android.sensor.gyroscope,1524422021750,64763117455203,3.1388524,-0.3733259,7.483361
android.sensor.gyroscope,1524422021770,64763137445828,3.420025,-0.20425588,7.9194317
android.sensor.gyroscope,1524422021790,64763157436453,4.481133,0.14861478,9.439229
android.sensor.gyroscope,1524422021810,64763177458328,6.190997,0.56967545,11.546715
android.sensor.gyroscope,1524422021830,64763197450515,6.689236,0.59449404,11.872323
android.sensor.gyroscope,1524422021850,64763217441140,6.381622,0.42950806,11.271266
android.sensor.gyroscope,1524422021870,64763237431765,5.8512163,0.25333455,10.468695
android.sensor.gyroscope,1524422021890,64763257453640,5.250701,0.11180579,9.641303
android.sensor.gyroscope,1524422021910,64763277444265,4.613394,0.0109083075,8.764276
android.sensor.gyroscope,1524422021930,64763297436453,3.991882,-0.06817256,7.9014196
android.sensor.gyroscope,1524422021950,64763317458328,3.4581954,-0.10716321,7.162657
android.sensor.gyroscope,1524422021970,64763337448953,2.9738665,-0.11698942,6.5114393
android.sensor.gyroscope,1524422021990,64763357439578,2.5424385,-0.103620194,5.93302
android.sensor.gyroscope,1524422022010,64763377461453,2.1363878,-0.07934267,5.415425
android.sensor.gyroscope,1524422022030,64763397453640,1.7584192,-0.01144936,5.0082746
android.sensor.gyroscope,1524422022050,64763417444265,1.3908005,0.10798352,4.703383
android.sensor.gyroscope,1524422022070,64763437436453,1.0248225,0.26152015,4.397671
android.sensor.gyroscope,1524422022090,64763457456765,0.6809402,0.37414622,4.0728827
android.sensor.gyroscope,1524422022110,64763477447390,0.3332357,0.4314105,3.7750773
android.sensor.gyroscope,1524422022130,64763497439578,-0.019896753,0.502585,3.509473
android.sensor.gyroscope,1524422022150,64763517461453,-0.33405602,0.62421703,3.2711136
android.sensor.gyroscope,1524422022170,64763537452078,-0.6233967,0.7668453,3.0292284
android.sensor.gyroscope,1524422022190,64763557442703,-0.907833,0.8892976,2.800154
android.sensor.gyroscope,1524422022210,64763577434890,-1.1650072,0.947644,2.5838902
android.sensor.gyroscope,1524422022230,64763597456765,-1.4033494,0.9495638,2.3889194
android.sensor.gyroscope,1524422022250,64763617447390,-1.6206952,0.93891734,2.2111053
android.sensor.gyroscope,1524422022270,64763637438015,-1.778316,0.85329145,2.0733814
android.sensor.gyroscope,1524422022290,64763657459890,-1.8445861,0.6201329,1.9806695
android.sensor.gyroscope,1524422022310,64763677452078,-1.880313,0.17179276,1.9558508
android.sensor.gyroscope,1524422022330,64763697442703,-1.87677,-0.5590464,2.0229414
android.sensor.gyroscope,1524422022350,64763717433328,-1.7916852,-1.5754215,2.2018375
android.sensor.gyroscope,1524422022370,64763737455203,-1.5817046,-2.7082448,2.3943648
android.sensor.gyroscope,1524422022390,64763757445828,-1.2948074,-3.406935,2.3174655
