Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524422127840,64869207444265,1.283292,9.481039,2.528277
android.sensor.accelerometer,1524422127860,64869227434890,1.1875241,9.414001,2.6431987
android.sensor.accelerometer,1524422127880,64869247456765,1.436521,9.452309,2.5570073
android.sensor.accelerometer,1524422127900,64869267447390,1.8100165,9.528923,1.9919758
android.sensor.accelerometer,1524422127920,64869287439578,1.7717092,9.56723,1.9728222
android.sensor.accelerometer,1524422127940,64869307461453,1.5514427,9.452309,2.4229321
android.sensor.accelerometer,1524422127960,64869327452078,1.3503298,9.461885,2.4516625
android.sensor.accelerometer,1524422127980,64869347442703,1.5705963,9.500193,2.2409728
android.sensor.accelerometer,1524422128000,64869367434890,1.5993267,9.481039,2.183512
android.sensor.accelerometer,1524422128020,64869387456765,1.5993267,9.452309,2.1643584
android.sensor.accelerometer,1524422128040,64869407447390,1.4748282,9.490616,2.4420857
android.sensor.accelerometer,1524422128060,64869427438015,1.532289,9.461885,2.4133554
android.sensor.accelerometer,1524422128080,64869447461453,1.6089035,9.490616,2.327164
android.sensor.accelerometer,1524422128100,64869467452078,1.6663644,9.490616,2.2218192
android.sensor.accelerometer,1524422128120,64869487442703,1.4173675,9.576807,2.1739352
android.sensor.accelerometer,1524422128140,64869507433328,1.484405,9.519346,2.3750482
android.sensor.accelerometer,1524422128160,64869527455203,1.4748282,9.605537,2.327164
android.sensor.accelerometer,1524422128180,64869547445828,1.7429788,9.739613,1.7621324
android.sensor.accelerometer,1524422128200,64869567436453,1.733402,9.950302,1.1971009
android.sensor.accelerometer,1524422128220,64869587459890,1.7525556,10.295067,0.9672575
android.sensor.accelerometer,1524422128240,64869607450515,1.5227122,10.601525,1.685518
android.sensor.accelerometer,1524422128260,64869627441140,0.89064306,10.94629,2.4133554
android.sensor.accelerometer,1524422128280,64869647431765,-0.02873042,11.798626,2.72939
android.sensor.accelerometer,1524422128300,64869667455203,0.2777274,12.334928,2.9975405
android.sensor.accelerometer,1524422128320,64869687444265,0.80445176,13.101071,3.715801
android.sensor.accelerometer,1524422128340,64869707436453,2.0973208,12.794614,6.4643445
android.sensor.accelerometer,1524422128360,64869727458328,3.1316159,12.26789,9.433155
android.sensor.accelerometer,1524422128380,64869747448953,4.271256,11.386824,12.53604
android.sensor.accelerometer,1524422128400,64869767441140,4.960786,10.1226845,16.156073
android.sensor.accelerometer,1524422128420,64869787463015,4.3861775,9.069236,19.469648
android.sensor.accelerometer,1524422128440,64869807453640,3.9264908,8.293514,20.312407
android.sensor.accelerometer,1524422128460,64869827444265,5.0661306,6.981492,19.747375
android.sensor.accelerometer,1524422128480,64869847434890,6.5026517,5.0757074,20.685904
android.sensor.accelerometer,1524422128500,64869867458328,7.479486,2.7964275,19.85272
android.sensor.accelerometer,1524422128520,64869887448953,8.523358,-0.095768064,17.688362
android.sensor.accelerometer,1524422128540,64869907439578,9.414001,-3.122039,15.351622
android.sensor.accelerometer,1524422128560,64869927461453,10.295067,-7.5848308,7.4507556
android.sensor.accelerometer,1524422128580,64869947452078,9.643845,-9.892841,2.9592333
