Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524422114810,64856177459890,-0.11126474,-0.030264009,-0.02453933
android.sensor.gyroscope,1524422114830,64856197450515,-0.11316715,-0.02480113,-0.020996312
android.sensor.gyroscope,1524422114850,64856217441140,-0.10826277,-0.01881465,-0.016632987
android.sensor.gyroscope,1524422114870,64856237433328,-0.10770427,-0.022078415,-0.0155334305
android.sensor.gyroscope,1524422114890,64856257455203,-0.0946143,-0.01144936,-0.01144936
android.sensor.gyroscope,1524422114910,64856277445828,-0.0935322,-0.017715093,-0.013351769
android.sensor.gyroscope,1524422114930,64856297436453,-0.09107128,-0.02617994,-0.014992379
android.sensor.gyroscope,1524422114950,64856317459890,-0.09653416,-0.034906585,-0.018256145
android.sensor.gyroscope,1524422114970,64856337450515,-0.10197959,-0.053721234,-0.024260076
android.sensor.gyroscope,1524422114990,64856357441140,-0.11398745,-0.056985,-0.026441738
android.sensor.gyroscope,1524422115010,64856377463015,-0.11234684,-0.059707712,-0.027262043
android.sensor.gyroscope,1524422115031,64856397453640,-0.11889183,-0.08098327,-0.027262043
android.sensor.gyroscope,1524422115051,64856417444265,-0.11016518,-0.074717544,-0.025359634
android.sensor.gyroscope,1524422115071,64856437434890,-0.08126253,-0.048537605,-0.016353736
android.sensor.gyroscope,1524422115091,64856457458328,-0.0659909,-0.038711403,-0.014713125
android.sensor.gyroscope,1524422115110,64856477448953,-0.06435029,-0.020717058,-0.010629055
android.sensor.gyroscope,1524422115131,64856497439578,0.0,0.0,0.0
android.sensor.gyroscope,1524422115151,64856517461453,0.0,0.0,0.0
android.sensor.gyroscope,1524422115171,64856537453640,0.0046251225,0.07744026,0.008447394
android.sensor.gyroscope,1524422115190,64856557444265,0.016353736,0.11534881,0.017994344
android.sensor.gyroscope,1524422115210,64856577434890,0.011711159,0.10143854,0.020996312
android.sensor.gyroscope,1524422115230,64856597456765,-0.18161896,-0.1979727,8.0285146E-4
android.sensor.gyroscope,1524422115250,64856617447390,-0.42786747,-0.5083271,-0.034627333
android.sensor.gyroscope,1524422115270,64856637438015,-0.6160314,-0.6779382,-0.07007497
android.sensor.gyroscope,1524422115290,64856657461453,-0.8958426,-0.85329145,-0.14152876
android.sensor.gyroscope,1524422115310,64856677452078,-1.2367228,-1.0109122,-0.22415264
android.sensor.gyroscope,1524422115330,64856697442703,-1.5421555,-1.0850886,-0.29696777
android.sensor.gyroscope,1524422115350,64856717434890,-1.8047751,-1.1508178,-0.35505232
android.sensor.gyroscope,1524422115370,64856737455203,-2.0068493,-1.2255353,-0.3973242
android.sensor.gyroscope,1524422115390,64856757445828,-2.1988356,-1.2765338,-0.42978734
android.sensor.gyroscope,1524422115410,64856777438015,-2.3880992,-1.3482668,-0.45104542
android.sensor.gyroscope,1524422115430,64856797459890,-2.5710795,-1.4213438,-0.45923102
android.sensor.gyroscope,1524422115450,64856817450515,-2.7731535,-1.4900749,-0.44696137
android.sensor.gyroscope,1524422115470,64856837441140,-2.9634993,-1.5244229,-0.39950585
android.sensor.gyroscope,1524422115490,64856857433328,-3.183306,-1.5743394,-0.3231477
android.sensor.gyroscope,1524422115510,64856877455203,-3.3821166,-1.6040623,-0.17507398
android.sensor.gyroscope,1524422115530,64856897445828,-3.54246,-1.5939744,0.09080948
android.sensor.gyroscope,1524422115550,64856917436453,-3.6668146,-1.6136092,0.45869
android.sensor.gyroscope,1524422115570,64856937459890,-3.7794406,-1.6594242,0.9307492
android.sensor.gyroscope,1524422115590,64856957450515,-3.8948069,-1.7194111,1.4949793
android.sensor.gyroscope,1524422115610,64856977441140,-3.9512508,-1.8435041,2.2487345
