Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524422063860,64805227445828,0.6895301,9.165004,3.7445314
android.sensor.accelerometer,1524422063880,64805247436453,0.6799533,9.126697,3.667917
android.sensor.accelerometer,1524422063900,64805267458328,0.8714894,9.165004,3.514688
android.sensor.accelerometer,1524422063920,64805287448953,1.13964,9.241618,3.715801
android.sensor.accelerometer,1524422063940,64805307439578,1.1587936,9.299079,3.5817258
android.sensor.accelerometer,1524422063960,64805327463015,1.13964,9.337387,3.323152
android.sensor.accelerometer,1524422063980,64805347453640,1.1971009,9.260772,3.6296098
android.sensor.accelerometer,1524422064000,64805367444265,1.1587936,9.222465,3.4476504
android.sensor.accelerometer,1524422064020,64805387436453,1.0630256,9.212888,3.4859576
android.sensor.accelerometer,1524422064040,64805407458328,0.8523358,9.203311,3.4572272
android.sensor.accelerometer,1524422064060,64805427448953,1.0151415,9.193734,3.41892
android.sensor.accelerometer,1524422064080,64805447439578,0.9864111,9.222465,3.2561142
android.sensor.accelerometer,1524422064100,64805467461453,1.1204864,9.174581,3.3901896
android.sensor.accelerometer,1524422064120,64805487452078,1.2066777,9.184157,3.5625722
android.sensor.accelerometer,1524422064140,64805507442703,1.3311762,9.174581,3.6583402
android.sensor.accelerometer,1524422064160,64805527434890,1.2162545,9.193734,3.5529952
android.sensor.accelerometer,1524422064180,64805547456765,1.5227122,9.165004,3.5242648
android.sensor.accelerometer,1524422064200,64805567447390,2.0973208,9.059659,3.3327289
android.sensor.accelerometer,1524422064220,64805587438015,2.3750482,9.002198,3.8594532
android.sensor.accelerometer,1524422064240,64805607461453,3.5242648,9.136273,4.596867
android.sensor.accelerometer,1524422064260,64805627452078,5.8705826,9.3182335,3.9552212
android.sensor.accelerometer,1524422064280,64805647442703,9.155427,9.356541,2.825158
android.sensor.accelerometer,1524422064300,64805667433328,10.850522,9.576807,0.9959879
android.sensor.accelerometer,1524422064320,64805687455203,12.354081,9.643845,-0.24899697
android.sensor.accelerometer,1524422064340,64805707445828,14.135366,9.615114,-2.3175871
android.sensor.accelerometer,1524422064360,64805727438015,15.150508,9.595961,-3.9456444
android.sensor.accelerometer,1524422064380,64805747459890,16.567875,9.11712,-3.217807
android.sensor.accelerometer,1524422064400,64805767450515,17.937359,8.714894,-2.7868507
android.sensor.accelerometer,1524422064420,64805787441140,18.339584,8.561666,-2.1164744
android.sensor.accelerometer,1524422064440,64805807433328,18.454506,7.872135,-0.7565677
android.sensor.accelerometer,1524422064460,64805827453640,18.272547,6.7708025,1.3120226
android.sensor.accelerometer,1524422064480,64805847445828,18.454506,4.807557,3.2082303
android.sensor.accelerometer,1524422064500,64805867436453,16.64449,2.9879637,6.1866174
android.sensor.accelerometer,1524422064520,64805887458328,13.101071,1.3503298,10.304645
android.sensor.accelerometer,1524422064540,64805907450515,7.2783732,-0.038307227,11.808203
android.sensor.accelerometer,1524422064560,64805927441140,1.7046716,-2.030283,12.401965
android.sensor.accelerometer,1524422064580,64805947463015,-0.1340753,-3.3423057,13.838486
android.sensor.accelerometer,1524422064600,64805967453640,-3.514688,-4.501099,15.887922
android.sensor.accelerometer,1524422064620,64805987444265,-7.8912888,-4.9416323,18.301277
android.sensor.accelerometer,1524422064640,64806007434890,-11.856087,-4.7979803,20.819979
android.sensor.accelerometer,1524422064660,64806027458328,-15.05474,-4.462792,20.06341
android.sensor.accelerometer,1524422064680,64806047448953,-16.82645,-3.9264908,17.592594
android.sensor.accelerometer,1524422064700,64806067439578,-17.219099,-3.217807,15.08347
android.sensor.accelerometer,1524422064720,64806087461453,-16.711529,-3.1316159,13.034034
android.sensor.accelerometer,1524422064740,64806107453640,-16.989256,-3.6104562,12.152967
android.sensor.accelerometer,1524422064760,64806127442703,-17.879898,-4.185065,12.344504
android.sensor.accelerometer,1524422064780,64806147434890,-16.836027,-5.0278234,12.698846
android.sensor.accelerometer,1524422064800,64806167456765,-13.40753,-6.253655,14.001291
android.sensor.accelerometer,1524422064820,64806187447390,-11.57836,-7.5944076,15.361198
android.sensor.accelerometer,1524422064840,64806207439578,-9.9790325,-9.203311,17.017986
android.sensor.accelerometer,1524422064860,64806227461453,-7.28795,-10.821792,18.368315
android.sensor.accelerometer,1524422064880,64806247452078,-3.5913026,-11.81778,18.071434
