Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524422084410,64825777458328,-0.0027227136,-0.0051661744,-0.038990654
android.sensor.gyroscope,1524422084430,64825797448953,-0.002984513,-0.0051661744,-0.038990654
android.sensor.gyroscope,1524422084450,64825817441140,-0.0035430184,-0.017994344,-0.035168383
android.sensor.gyroscope,1524422084470,64825837463015,-0.0054454273,-0.027541295,-0.048537605
android.sensor.gyroscope,1524422084490,64825857453640,-0.0054454273,-0.029443704,-0.047438048
android.sensor.gyroscope,1524422084510,64825877444265,0.0,0.0,0.0
android.sensor.gyroscope,1524422084530,64825897436453,0.0,0.0,0.0
android.sensor.gyroscope,1524422084550,64825917458328,0.033527777,0.059166662,-0.006544985
android.sensor.gyroscope,1524422084570,64825937448953,0.03190462,0.060528018,0.0038048178
android.sensor.gyroscope,1524422084590,64825957439578,0.04171337,0.08398525,0.020437805
android.sensor.gyroscope,1524422084610,64825977461453,0.055902895,0.12053244,0.046896998
android.sensor.gyroscope,1524422084630,64825997452078,0.05644395,0.11534881,0.07035422
android.sensor.gyroscope,1524422084650,64826017442703,0.061627574,0.12625712,0.124354705
android.sensor.gyroscope,1524422084670,64826037433328,0.06899287,0.15680037,0.22471114
android.sensor.gyroscope,1524422084690,64826057456765,0.095713854,0.2268928,0.34796628
android.sensor.gyroscope,1524422084710,64826077447390,0.17589428,0.44505897,0.5080479
android.sensor.gyroscope,1524422084730,64826097438015,0.3962421,1.0152755,0.74148566
android.sensor.gyroscope,1524422084750,64826117461453,0.6992138,1.8140428,0.9506459
android.sensor.gyroscope,1524422084770,64826137452078,1.0297443,2.7235165,1.1630874
android.sensor.gyroscope,1524422084790,64826157442703,1.4960613,3.9133422,1.3351768
android.sensor.gyroscope,1524422084810,64826177433328,2.0106716,5.0150814,1.4077127
android.sensor.gyroscope,1524422084830,64826197455203,2.542718,5.900295,1.3962634
android.sensor.gyroscope,1524422084850,64826217445828,2.962138,6.301441,1.333257
android.sensor.gyroscope,1524422084870,64826237438015,3.3161256,6.4819784,1.2710884
android.sensor.gyroscope,1524422084890,64826257459890,3.5841906,6.5291543,1.2288165
android.sensor.gyroscope,1524422084910,64826277450515,3.816267,6.5738873,1.2165469
android.sensor.gyroscope,1524422084930,64826297441140,4.017521,6.6286907,1.2517152
android.sensor.gyroscope,1524422084950,64826317433328,4.1797843,6.657611,1.3218076
android.sensor.gyroscope,1524422084970,64826337455203,4.248498,6.556975,1.4262482
android.sensor.gyroscope,1524422084990,64826357445828,4.2471366,6.3952527,1.5787027
android.sensor.gyroscope,1524422085010,64826377436453,4.230242,6.308545,1.8020525
android.sensor.gyroscope,1524422085030,64826397458328,4.125784,6.237091,2.081305
android.sensor.gyroscope,1524422085050,64826417450515,3.9139009,6.1454616,2.3599994
android.sensor.gyroscope,1524422085070,64826437441140,3.6100914,6.057654,2.6351678
android.sensor.gyroscope,1524422085090,64826457463015,3.2326639,6.0112805,2.8934243
android.sensor.gyroscope,1524422085110,64826477453640,2.803435,5.946389,3.0954986
android.sensor.gyroscope,1524422085130,64826497444265,2.3210087,5.821755,3.2394881
android.sensor.gyroscope,1524422085150,64826517436453,1.7799566,5.6633143,3.3605616
android.sensor.gyroscope,1524422085170,64826537458328,1.2408069,5.5787706,3.479471
android.sensor.gyroscope,1524422085190,64826557448953,0.6817605,5.3153305,3.4219275
android.sensor.gyroscope,1524422085210,64826577439578,0.19388862,5.09308,3.3322
android.sensor.gyroscope,1524422085230,64826597463015,-0.24160592,4.9073596,3.183847
android.sensor.gyroscope,1524422085250,64826617452078,-0.58822834,4.6870117,2.9572334
android.sensor.gyroscope,1524422085270,64826637442703,-0.87564915,4.573845,2.7731535
android.sensor.gyroscope,1524422085290,64826657434890,-1.069276,4.3420477,2.54654
android.sensor.gyroscope,1524422085310,64826677456765,-1.1799997,4.0652385,2.3210087
android.sensor.gyroscope,1524422085330,64826697447390,-1.1969119,3.737448,2.105024
android.sensor.gyroscope,1524422085350,64826717438015,-1.1420912,3.3327587,1.9130379
android.sensor.gyroscope,1524422085370,64826737459890,-1.0245606,2.9037914,1.7327803
android.sensor.gyroscope,1524422085390,64826757452078,-0.86255914,2.4418204,1.5547044
android.sensor.gyroscope,1524422085410,64826777442703,-0.68448323,1.965677,1.3548118
android.sensor.gyroscope,1524422085430,64826797433328,-0.5006826,1.4742447,1.2675453
android.sensor.gyroscope,1524422085450,64826817455203,-0.31524137,0.99483764,1.2244532
android.sensor.gyroscope,1524422085470,64826837445828,-0.1513375,0.5658532,1.1794586
android.sensor.gyroscope,1524422085490,64826857438015,-0.055623643,0.1409877,1.0673735
android.sensor.gyroscope,1524422085510,64826877459890,-0.045256387,-0.31796408,0.92066115
android.sensor.gyroscope,1524422085530,64826897450515,-0.06435029,-0.8042128,0.76930624
android.sensor.gyroscope,1524422085550,64826917441140,-0.12135274,-1.3368,0.5723982
android.sensor.gyroscope,1524422085570,64826937433328,-0.22006856,-1.8800337,0.3220656
android.sensor.gyroscope,1524422085590,64826957455203,-0.3733259,-2.345548,0.030543262
android.sensor.gyroscope,1524422085610,64826977445828,-0.55140185,-2.6648908,-0.22743386
android.sensor.gyroscope,1524422085630,64826997436453,-0.73057735,-2.855795,-0.42078143
android.sensor.gyroscope,1524422085650,64827017458328,-0.9236457,-2.9340556,-0.55604446
android.sensor.gyroscope,1524422085670,64827037448953,-1.0900105,-2.906235,-0.6294006
android.sensor.gyroscope,1524422085690,64827057439578,-1.2162676,-2.7998745,-0.6607642
android.sensor.gyroscope,1524422085710,64827077463015,-1.3261709,-2.658887,-0.6724928
android.sensor.gyroscope,1524422085730,64827097453640,-1.4161601,-2.483813,-0.67113143
android.sensor.gyroscope,1524422085750,64827117444265,-1.434713,-2.2773755,-0.6294006
android.sensor.gyroscope,1524422085770,64827137436453,-1.3373586,-2.0193982,-0.54459506
android.sensor.gyroscope,1524422085790,64827157458328,-1.1180928,-1.7363234,-0.43004912
android.sensor.gyroscope,1524422085810,64827177448953,-0.87374675,-1.4791665,-0.28797933
android.sensor.gyroscope,1524422085830,64827197439578,-0.6002187,-1.2549964,-0.10089748
android.sensor.gyroscope,1524422085850,64827217461453,-0.22907446,-1.0130938,0.13798574
android.sensor.gyroscope,1524422085870,64827237452078,0.09843657,-0.8301135,0.3946015
android.sensor.gyroscope,1524422085890,64827257444265,0.31333897,-0.7076612,0.6670299
android.sensor.gyroscope,1524422085910,64827277434890,0.53859115,-0.58222437,0.9670171
android.sensor.gyroscope,1524422085930,64827297456765,0.6577622,-0.47722536,1.1890055
android.sensor.gyroscope,1524422085950,64827317447390,0.6828601,-0.4046895,1.307077
android.sensor.gyroscope,1524422085970,64827337439578,0.77557194,-0.31251866,1.3777106
android.sensor.gyroscope,1524422085990,64827357461453,1.012291,-0.17889625,1.4600726
android.sensor.gyroscope,1524422086010,64827377452078,1.250092,-0.04225442,1.5407941
android.sensor.gyroscope,1524422086030,64827397442703,1.4415197,0.09189159,1.6187929
android.sensor.gyroscope,1524422086050,64827417434890,1.5787027,0.22443189,1.6896882
android.sensor.gyroscope,1524422086070,64827437456765,1.7134072,0.38341394,1.7548587
android.sensor.gyroscope,1524422086090,64827457445828,1.8072187,0.5391322,1.7963103
android.sensor.gyroscope,1524422086110,64827477438015,1.8713071,0.6817605,1.8023143
android.sensor.gyroscope,1524422086130,64827497459890,1.907575,0.80529493,1.7532356
android.sensor.gyroscope,1524422086150,64827517450515,1.9351338,0.9086533,1.6637875
android.sensor.gyroscope,1524422086170,64827537441140,1.9744037,0.9967401,1.559888
android.sensor.gyroscope,1524422086190,64827557433328,2.0103924,1.0758209,1.4428811
android.sensor.gyroscope,1524422086210,64827577455203,2.0668364,1.1543608,1.3250715
android.sensor.gyroscope,1524422086230,64827597445828,2.1579251,1.2429886,1.211625
android.sensor.gyroscope,1524422086250,64827617436453,2.2541974,1.3073564,1.0930125
android.sensor.gyroscope,1524422086270,64827637458328,2.3507316,1.3575345,0.9912772
android.sensor.gyroscope,1524422086290,64827657450515,2.4799907,1.3648999,0.9059306
android.sensor.gyroscope,1524422086310,64827677441140,2.5947983,1.2555375,0.7982089
android.sensor.gyroscope,1524422086330,64827697433328,2.6569846,1.0171953,0.6531197
android.sensor.gyroscope,1524422086350,64827717453640,2.6398106,0.7229328,0.48350856
