Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524422151420,64892787442703,0.6512229,3.122039,9.260772
android.sensor.accelerometer,1524422151440,64892807434890,0.7757214,3.169923,9.56723
android.sensor.accelerometer,1524422151460,64892827456765,0.9672575,3.1316159,9.797073
android.sensor.accelerometer,1524422151480,64892847447390,0.89064306,3.1411927,9.56723
android.sensor.accelerometer,1524422151500,64892867438015,0.6703765,3.122039,9.308656
android.sensor.accelerometer,1524422151520,64892887459890,0.545878,3.1124623,9.385271
android.sensor.accelerometer,1524422151540,64892907452078,0.34476504,3.1411927,9.557653
android.sensor.accelerometer,1524422151560,64892927442703,0.39264908,3.1890767,9.653421
android.sensor.accelerometer,1524422151580,64892947433328,0.61291564,3.2752678,9.548077
android.sensor.accelerometer,1524422151600,64892967455203,0.8714894,3.4093432,9.595961
android.sensor.accelerometer,1524422151620,64892987445828,1.0630256,3.4763808,9.471462
android.sensor.accelerometer,1524422151640,64893007438015,0.7374141,3.8307228,9.998186
android.sensor.accelerometer,1524422151660,64893027459890,0.93852705,4.912902,14.374787
android.sensor.accelerometer,1524422151680,64893047450515,5.3725886,6.540959,21.298819
android.sensor.accelerometer,1524422151700,64893067441140,15.974113,7.517793,18.47366
android.sensor.accelerometer,1524422151720,64893087431765,23.00349,12.152967,-0.641646
android.sensor.accelerometer,1524422151740,64893107455203,20.705057,8.42759,-4.606444
android.sensor.accelerometer,1524422151760,64893127445828,5.947197,-0.7757214,1.1300632
android.sensor.accelerometer,1524422151780,64893147436453,-20.436905,-10.496181,11.128249
android.sensor.accelerometer,1524422151800,64893167458328,-41.96557,-14.54717,13.742718
android.sensor.accelerometer,1524422151820,64893187450515,-37.799656,-15.648502,11.980585
android.sensor.accelerometer,1524422151840,64893207439578,-19.871874,-13.608643,10.869676
android.sensor.accelerometer,1524422151860,64893227463015,-0.49799395,-6.5026517,11.664551
android.sensor.accelerometer,1524422151880,64893247453640,17.03714,4.548983,5.8801594
android.sensor.accelerometer,1524422151900,64893267444265,34.945766,14.489709,-2.719813
android.sensor.accelerometer,1524422151920,64893287434890,38.651993,18.483236,-10.907983
android.sensor.accelerometer,1524422151940,64893307458328,30.119057,11.358093,-7.335834
android.sensor.accelerometer,1524422151960,64893327448953,-0.8714894,-3.5051112,-0.58418524
android.sensor.accelerometer,1524422151980,64893347439578,-34.735077,-13.254301,18.990808
android.sensor.accelerometer,1524422152000,64893367461453,-46.351746,-15.792154,18.904617
android.sensor.accelerometer,1524422152020,64893387452078,-30.128633,-14.441825,15.399506
android.sensor.accelerometer,1524422152040,64893407444265,-0.5650316,-6.4739213,16.290148
android.sensor.accelerometer,1524422152060,64893427434890,22.505495,7.4028716,7.019799
android.sensor.accelerometer,1524422152080,64893447456765,47.27112,21.672314,-10.477027
android.sensor.accelerometer,1524422152100,64893467447390,41.726147,16.912642,-14.001291
android.sensor.accelerometer,1524422152120,64893487438015,12.612655,-2.9496565,-5.793968
android.sensor.accelerometer,1524422152140,64893507459890,-33.672054,-15.409082,18.08101
android.sensor.accelerometer,1524422152160,64893527452078,-51.073112,-18.86631,22.170307
android.sensor.accelerometer,1524422152180,64893547442703,-40.643967,-17.401058,14.824897
android.sensor.accelerometer,1524422152200,64893567433328,-9.509769,-10.840945,17.314867
android.sensor.accelerometer,1524422152220,64893587455203,18.50239,3.1028855,7.441179
android.sensor.accelerometer,1524422152240,64893607445828,41.343075,17.362751,-6.253655
android.sensor.accelerometer,1524422152260,64893627436453,49.45463,22.697033,-13.704411
android.sensor.accelerometer,1524422152280,64893647459890,40.84508,13.532028,-12.29662
android.sensor.accelerometer,1524422152300,64893667450515,1.6663644,-5.1523223,-0.545878
android.sensor.accelerometer,1524422152320,64893687441140,-37.081394,-15.648502,27.983429
android.sensor.accelerometer,1524422152340,64893707433328,-50.56554,-18.20551,21.997925
android.sensor.accelerometer,1524422152360,64893727455203,-31.268274,-15.725117,17.468096
android.sensor.accelerometer,1524422152380,64893747445828,0.25857377,-4.6255975,9.3661175
android.sensor.accelerometer,1524422152400,64893767436453,27.59078,10.505757,-2.135628
android.sensor.accelerometer,1524422152420,64893787458328,46.30386,20.015526,-9.653421
android.sensor.accelerometer,1524422152440,64893807450515,33.327286,7.192182,-11.425131
android.sensor.accelerometer,1524422152460,64893827441140,-16.299725,-11.453861,6.3685765
android.sensor.accelerometer,1524422152480,64893847463015,-51.216763,-17.908628,30.818165
android.sensor.accelerometer,1524422152500,64893867453640,-45.853752,-17.822437,15.840038
android.sensor.accelerometer,1524422152520,64893887444265,-10.477027,-8.839393,11.434708
android.sensor.accelerometer,1524422152540,64893907436453,15.820885,5.544971,1.340753
android.sensor.accelerometer,1524422152560,64893927458328,30.157364,15.08347,-5.6790466
android.sensor.accelerometer,1524422152580,64893947448953,25.81907,14.298173,-2.4037786
android.sensor.accelerometer,1524422152600,64893967439578,8.274361,7.3166804,2.3654714
android.sensor.accelerometer,1524422152620,64893987461453,-8.350976,1.1492168,15.064317
android.sensor.accelerometer,1524422152640,64894007452078,-14.642938,-0.9672575,16.989256
android.sensor.accelerometer,1524422152660,64894027444265,-9.873688,0.1340753,12.488156
android.sensor.accelerometer,1524422152680,64894047434890,-2.3558946,2.3463178,12.315774
android.sensor.accelerometer,1524422152700,64894067456765,3.6583402,4.8267107,9.758766
android.sensor.accelerometer,1524422152720,64894087447390,7.1059904,6.445191,8.0445175
android.sensor.accelerometer,1524422152740,64894107438015,5.104438,6.196194,7.795521
android.sensor.accelerometer,1524422152760,64894127461453,1.8100165,4.960786,7.8529816
android.sensor.accelerometer,1524422152781,64894147452078,-0.076614454,4.3957543,7.038953
android.sensor.accelerometer,1524422152800,64894167442703,0.10534488,3.4763808,7.345411
android.sensor.accelerometer,1524422152820,64894187433328,-1.5801731,2.7102363,11.051635
android.sensor.accelerometer,1524422152840,64894207456765,-0.89064306,2.4708161,12.488156
android.sensor.accelerometer,1524422152860,64894227445828,-0.2777274,3.0071173,12.708423
android.sensor.accelerometer,1524422152880,64894247438015,-0.61291564,3.8977604,11.865664
