Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524422145217,64886577461453,0.0,0.0,0.0
android.sensor.gyroscope,1524422145230,64886597452078,0.0,0.0,0.0
android.sensor.gyroscope,1524422145250,64886617442703,0.0,0.0,0.0
android.sensor.gyroscope,1524422145270,64886637433328,0.0,0.0,0.0
android.sensor.gyroscope,1524422145290,64886657456765,-0.027803095,-0.011711159,-0.025621433
android.sensor.gyroscope,1524422145310,64886677447390,-0.028082348,-0.011990412,-0.025359634
android.sensor.gyroscope,1524422145330,64886697438015,0.0,0.0,0.0
android.sensor.gyroscope,1524422145350,64886717459890,0.0,0.0,0.0
android.sensor.gyroscope,1524422145370,64886737450515,0.0,0.0,0.0
android.sensor.gyroscope,1524422145390,64886757442703,-0.035709437,-0.023719024,-0.053441983
android.sensor.gyroscope,1524422145410,64886777433328,-0.035709437,-0.024260076,-0.053162728
android.sensor.gyroscope,1524422145430,64886797455203,0.0,0.0,0.0
android.sensor.gyroscope,1524422145450,64886817445828,0.0,0.0,0.0
android.sensor.gyroscope,1524422145470,64886837436453,-0.015271631,-0.016074482,-0.032724924
android.sensor.gyroscope,1524422145490,64886857459890,0.0,0.0,0.0
android.sensor.gyroscope,1524422145510,64886877450515,0.0,0.0,0.0
android.sensor.gyroscope,1524422145530,64886897441140,0.04907866,-0.12843879,0.24324654
android.sensor.gyroscope,1524422145550,64886917433328,0.31524137,-0.1704314,1.0976375
android.sensor.gyroscope,1524422145570,64886937455203,0.6263987,-0.08644616,2.0810258
android.sensor.gyroscope,1524422145590,64886957444265,0.84238315,0.059707712,2.6308045
android.sensor.gyroscope,1524422145610,64886977436453,0.53668875,-0.058346357,1.7436886
android.sensor.gyroscope,1524422145630,64886997458328,-0.21788691,-0.15598008,-0.56340975
android.sensor.gyroscope,1524422145650,64887017448953,-0.5977753,0.15788248,-1.8044959
android.sensor.gyroscope,1524422145670,64887037439578,-0.7616617,0.357234,-2.2391877
android.sensor.gyroscope,1524422145690,64887057463015,-0.8145626,0.25579545,-2.2577405
android.sensor.gyroscope,1524422145710,64887077453640,-0.7180284,-0.01308997,-1.9348545
android.sensor.gyroscope,1524422145730,64887097444265,-0.44804347,-0.50640726,-1.0553657
android.sensor.gyroscope,1524422145750,64887117434890,0.10471976,-0.6683913,0.7744899
android.sensor.gyroscope,1524422145770,64887137458328,0.7338411,-0.3196047,2.9422412
android.sensor.gyroscope,1524422145790,64887157448953,0.21270327,-0.60976565,1.2285372
android.sensor.gyroscope,1524422145810,64887177439578,-0.6836629,-0.43523276,-1.8459475
android.sensor.gyroscope,1524422145830,64887197461453,-0.9288293,0.16770868,-2.5773451
android.sensor.gyroscope,1524422145850,64887217452078,-1.0510024,0.21024236,-2.7766967
android.sensor.gyroscope,1524422145870,64887237442703,-0.99838066,-0.20479694,-2.645797
android.sensor.gyroscope,1524422145890,64887257434890,-0.7818377,-1.0782819,-2.2959108
android.sensor.gyroscope,1524422145910,64887277456765,-2.819789,-3.598101,-11.166826
android.sensor.gyroscope,1524422145930,64887297447390,4.9891806,3.5637355,14.344425
android.sensor.gyroscope,1524422145950,64887317438015,4.736108,3.8187106,14.356136
android.sensor.gyroscope,1524422145970,64887337459890,-2.2675493,-2.3627396,-6.2520833
android.sensor.gyroscope,1524422145990,64887357452078,-1.7725912,-0.52768284,-4.4934025
android.sensor.gyroscope,1524422146010,64887377442703,-1.7150478,0.43114868,-4.0916977
android.sensor.gyroscope,1524422146030,64887397434890,-1.6738755,0.6397679,-3.849533
android.sensor.gyroscope,1524422146050,64887417455203,-1.4922565,0.5508608,-3.496645
android.sensor.gyroscope,1524422146070,64887437445828,-1.237805,-0.5516811,-3.5948198
android.sensor.gyroscope,1524422146090,64887457438015,-1.405531,-2.0068493,-5.5299535
android.sensor.gyroscope,1524422146110,64887477459890,-2.9403212,-2.8416054,-9.957906
android.sensor.gyroscope,1524422146130,64887497450515,-2.5809057,-2.5116334,-8.672908
android.sensor.gyroscope,1524422146150,64887517441140,-1.019377,-1.463895,-4.2536817
android.sensor.gyroscope,1524422146170,64887537433328,-0.50040334,-0.3433237,-1.4423401
android.sensor.gyroscope,1524422146190,64887557455203,-0.49604002,-0.3065147,-1.3929821
android.sensor.gyroscope,1524422146210,64887577444265,-0.45622906,-0.3105988,-1.3537123
android.sensor.gyroscope,1524422146230,64887597436453,-0.73247975,-0.9506459,-2.926411
android.sensor.gyroscope,1524422146250,64887617458328,-0.8481078,-0.8677428,-2.855795
android.sensor.gyroscope,1524422146270,64887637448953,-0.49659854,-0.27869418,-1.2538968
android.sensor.gyroscope,1524422146290,64887657441140,-0.41123447,-0.06981317,-0.7673864
android.sensor.gyroscope,1524422146310,64887677463015,-0.36514032,-0.06517059,-0.71420616
android.sensor.gyroscope,1524422146330,64887697453640,-0.32614967,-0.06244788,-0.66785026
android.sensor.gyroscope,1524422146350,64887717444265,-0.11725122,-0.03244567,-0.4027871
android.sensor.gyroscope,1524422146370,64887737436453,0.032986723,0.29396582,0.3332357
android.sensor.gyroscope,1524422146390,64887757458328,-0.16198401,1.1377277,1.3359797
android.sensor.gyroscope,1524422146410,64887777448953,-0.34170055,1.7750522,1.8265917
android.sensor.gyroscope,1524422146430,64887797439578,-0.12079424,1.5677943,1.8074979
android.sensor.gyroscope,1524422146450,64887817461453,0.33923966,0.80039054,1.5249814
android.sensor.gyroscope,1524422146470,64887837452078,0.8262912,-0.06407104,1.1186339
android.sensor.gyroscope,1524422146490,64887857442703,1.1543608,-0.44259804,1.173734
android.sensor.gyroscope,1524422146510,64887877434890,1.2568989,-0.20125392,1.889319
android.sensor.gyroscope,1524422146530,64887897456765,0.8772898,0.3256086,1.8568558
android.sensor.gyroscope,1524422146550,64887917447390,0.27052602,1.1044618,1.5977792
android.sensor.gyroscope,1524422146570,64887937438015,-0.13716543,1.6899674,1.454889
android.sensor.gyroscope,1524422146590,64887957461453,-0.092170835,1.6215156,1.467438
android.sensor.gyroscope,1524422146610,64887977452078,0.32424727,0.9781872,1.7134072
android.sensor.gyroscope,1524422146630,64887997442703,0.9301907,0.18598229,2.515997
android.sensor.gyroscope,1524422146650,64888017434890,1.4480648,0.080721475,4.3491335
android.sensor.gyroscope,1524422146670,64888037455203,1.079364,0.23424064,3.129864
android.sensor.gyroscope,1524422146690,64888057445828,0.41505674,0.6572212,1.4038905
