Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524421881480,64622847459890,8.37013,-4.8745947,0.41180268
android.sensor.accelerometer,1524421881500,64622867450515,8.37013,-4.912902,0.30645782
android.sensor.accelerometer,1524421881520,64622887441140,8.504205,-4.912902,-0.05746084
android.sensor.accelerometer,1524421881540,64622907431765,8.571242,-4.8937483,-0.29688102
android.sensor.accelerometer,1524421881560,64622927453640,8.494628,-4.8841715,-0.35434186
android.sensor.accelerometer,1524421881580,64622947445828,8.485051,-4.912902,-0.18195933
android.sensor.accelerometer,1524421881600,64622967436453,8.322245,-4.999093,0.02873042
android.sensor.accelerometer,1524421881620,64622987458328,8.178593,-4.9703627,0.35434186
android.sensor.accelerometer,1524421881640,64623007448953,8.293514,-4.9703627,0.50757074
android.sensor.accelerometer,1524421881660,64623027439578,8.465898,-5.0661306,0.25857377
android.sensor.accelerometer,1524421881680,64623047463015,8.7532015,-5.315128,0.02873042
android.sensor.accelerometer,1524421881700,64623067453640,8.90643,-5.650316,-0.30645782
android.sensor.accelerometer,1524421881720,64623087444265,9.088389,-6.033388,-0.8331822
android.sensor.accelerometer,1524421881740,64623107434890,9.471462,-6.1195793,-1.9153614
android.sensor.accelerometer,1524421881760,64623127456765,9.959879,-5.93762,-3.8977604
android.sensor.accelerometer,1524421881780,64623147447390,10.496181,-6.0716953,-4.807557
android.sensor.accelerometer,1524421881800,64623167439578,10.869676,-6.2345014,-4.5202527
android.sensor.accelerometer,1524421881820,64623187461453,10.994174,-6.157887,-4.175488
android.sensor.accelerometer,1524421881840,64623207452078,11.204864,-6.0525417,-4.367024
android.sensor.accelerometer,1524421881860,64623227442703,11.319786,-5.995081,-4.1946416
android.sensor.accelerometer,1524421881880,64623247434890,11.520899,-6.1195793,-3.9073372
android.sensor.accelerometer,1524421881900,64623267456765,11.271901,-6.1387334,-3.6966474
android.sensor.accelerometer,1524421881920,64623287447390,10.477027,-5.985504,-3.0358477
android.sensor.accelerometer,1524421881940,64623307438015,8.820239,-5.659893,-1.9440918
android.sensor.accelerometer,1524421881960,64623327459890,7.9391727,-5.401319,-1.0342951
android.sensor.accelerometer,1524421881980,64623347452078,7.479486,-5.1523223,-0.24899697
android.sensor.accelerometer,1524421882000,64623367442703,7.5082164,-4.9320555,-0.19153613
android.sensor.accelerometer,1524421882020,64623387433328,7.3071036,-4.501099,0.9768343
android.sensor.accelerometer,1524421882040,64623407455203,6.2728086,-4.6926355,2.825158
android.sensor.accelerometer,1524421882059,64623427445828,5.133168,-4.453215,5.094861
android.sensor.accelerometer,1524421882080,64623447438015,4.903325,-4.098873,5.353435
android.sensor.accelerometer,1524421882100,64623467459890,3.8498764,-3.9456444,4.9895163
android.sensor.accelerometer,1524421882120,64623487450515,4.2425256,-4.2042184,5.449203
android.sensor.accelerometer,1524421882140,64623507441140,4.759673,-4.4819455,6.655881
android.sensor.accelerometer,1524421882160,64623527431765,4.3957543,-4.4436383,7.3645644
android.sensor.accelerometer,1524421882180,64623547453640,3.41892,-4.453215,7.4028716
android.sensor.accelerometer,1524421882200,64623567445828,3.5242648,-4.5681367,6.694188
android.sensor.accelerometer,1524421882220,64623587436453,5.3821654,-6.0238113,7.038953
android.sensor.accelerometer,1524421882240,64623607458328,6.167464,-7.8912888,7.565677
android.sensor.accelerometer,1524421882260,64623627450515,6.14831,-8.590396,7.517793
android.sensor.accelerometer,1524421882280,64623647439578,5.9567738,-8.714894,7.297527
android.sensor.accelerometer,1524421882300,64623667463015,6.090849,-9.289502,6.5601125
android.sensor.accelerometer,1524421882320,64623687453640,8.255207,-10.620679,5.707777
android.sensor.accelerometer,1524421882340,64623707444265,11.271901,-12.229582,6.0238113
android.sensor.accelerometer,1524421882360,64623727434890,14.633361,-14.470555,6.799533
android.sensor.accelerometer,1524421882380,64623747458328,16.778566,-16.615759,7.3645644
android.sensor.accelerometer,1524421882400,64623767448953,17.458519,-18.08101,6.483498
android.sensor.accelerometer,1524421882420,64623787439578,18.55985,-19.278112,5.401319
android.sensor.accelerometer,1524421882440,64623807461453,20.762518,-20.982784,4.548983
android.sensor.accelerometer,1524421882460,64623827452078,23.501484,-22.965183,5.0661306
android.sensor.accelerometer,1524421882480,64623847444265,26.020184,-25.052927,6.5696893
android.sensor.accelerometer,1524421882500,64623867434890,28.797459,-27.32263,7.795521
android.sensor.accelerometer,1524421882520,64623887456765,30.10948,-29.917944,8.973468
android.sensor.accelerometer,1524421882540,64623907447390,29.44868,-31.976957,8.303091
android.sensor.accelerometer,1524421882560,64623927438015,26.920404,-32.17807,5.1140146
android.sensor.accelerometer,1524421882580,64623947459890,25.684996,-30.68409,3.8786068
android.sensor.accelerometer,1524421882600,64623967452078,28.30904,-29.486988,4.6830587
android.sensor.accelerometer,1524421882620,64623987442703,29.381643,-29.295452,6.9048777
android.sensor.accelerometer,1524421882640,64624007433328,25.474306,-29.496565,8.207323
android.sensor.accelerometer,1524421882660,64624027455203,20.197485,-28.471848,8.1881695
android.sensor.accelerometer,1524421882680,64624047445828,17.27656,-25.177425,1.9440918
