Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524421881471,64622837447390,-0.0662527,0.016632987,0.0021816615
android.sensor.gyroscope,1524421881490,64622857439578,-0.0662527,0.017174039,0.0021816615
android.sensor.gyroscope,1524421881510,64622877461453,-0.03817035,0.009808751,0.0016231562
android.sensor.gyroscope,1524421881530,64622897452078,0.0,0.0,0.0
android.sensor.gyroscope,1524421881550,64622917442703,-0.037088245,0.0049043754,0.01308997
android.sensor.gyroscope,1524421881570,64622937434890,0.0,0.0,0.0
android.sensor.gyroscope,1524421881590,64622957456765,-0.05290093,0.011990412,0.014713125
android.sensor.gyroscope,1524421881610,64622977447390,-0.053983033,0.011711159,0.010088003
android.sensor.gyroscope,1524421881630,64622997438015,-0.054803338,0.007906342,0.0095294975
android.sensor.gyroscope,1524421881650,64623017459890,-0.038711403,0.0013613568,0.00816814
android.sensor.gyroscope,1524421881670,64623037452078,0.0,0.0,0.0
android.sensor.gyroscope,1524421881690,64623057442703,0.0,0.0,0.0
android.sensor.gyroscope,1524421881710,64623077433328,0.0,0.0,0.0
android.sensor.gyroscope,1524421881730,64623097455203,0.018256145,-0.021537364,0.027803095
android.sensor.gyroscope,1524421881750,64623117445828,0.014713125,-0.03598869,0.067631505
android.sensor.gyroscope,1524421881770,64623137436453,0.016632987,-0.04363323,0.08398525
android.sensor.gyroscope,1524421881790,64623157459890,-0.02480113,-0.03817035,0.074717544
android.sensor.gyroscope,1524421881810,64623177450515,-0.3891386,-0.0013613568,0.07443829
android.sensor.gyroscope,1524421881830,64623197441140,-0.61276764,0.014992379,0.072797686
android.sensor.gyroscope,1524421881850,64623217433328,-0.6694909,8.0285146E-4,0.072797686
android.sensor.gyroscope,1524421881870,64623237455203,-0.7742106,-0.010349803,0.07253588
android.sensor.gyroscope,1524421881890,64623257445828,-0.8385609,-0.02617994,0.07035422
android.sensor.gyroscope,1524421881910,64623277434890,-0.8309338,-0.06843436,0.067631505
android.sensor.gyroscope,1524421881930,64623297458328,-0.8347561,-0.09053023,0.06080727
android.sensor.gyroscope,1524421881950,64623317448953,-0.76930624,-0.1229759,0.045814894
android.sensor.gyroscope,1524421881970,64623337439578,-0.63948864,-0.1805194,0.032724924
android.sensor.gyroscope,1524421881990,64623357461453,-0.47204176,-0.24678956,0.02617994
android.sensor.gyroscope,1524421882010,64623377453640,-0.28033477,-0.32450905,0.014451326
android.sensor.gyroscope,1524421882030,64623397444265,-0.07225663,-0.39786527,-0.0038048178
android.sensor.gyroscope,1524421882050,64623417436453,0.21924827,-0.51295227,-0.039531708
android.sensor.gyroscope,1524421882071,64623437456765,0.52686256,-0.63622487,-0.07853982
android.sensor.gyroscope,1524421882090,64623457448953,1.1273605,-0.8344768,-0.0946143
android.sensor.gyroscope,1524421882110,64623477439578,1.6796001,-1.0152755,-0.101717785
android.sensor.gyroscope,1524421882130,64623497461453,2.0163963,-1.148095,-0.1128879
android.sensor.gyroscope,1524421882150,64623517452078,2.2768342,-1.2593597,-0.1137082
android.sensor.gyroscope,1524421882170,64623537444265,2.7707102,-1.3760699,-0.07716101
android.sensor.gyroscope,1524421882190,64623557434890,3.1587667,-1.4295294,0.005986479
android.sensor.gyroscope,1524421882210,64623577456765,3.2902074,-1.4087949,0.071174525
android.sensor.gyroscope,1524421882230,64623597447390,3.2975726,-1.3586166,0.12897983
android.sensor.gyroscope,1524421882250,64623617438015,3.3916633,-1.2375431,0.27679175
android.sensor.gyroscope,1524421882270,64623637459890,3.43966,-1.0581058,0.46631706
android.sensor.gyroscope,1524421882290,64623657452078,3.4055736,-0.8881981,0.62475806
android.sensor.gyroscope,1524421882310,64623677442703,3.3062994,-0.712583,0.7758512
android.sensor.gyroscope,1524421882330,64623697433328,3.1568642,-0.5574058,0.8966629
android.sensor.gyroscope,1524421882350,64623717455203,2.991599,-0.42704716,0.9798278
android.sensor.gyroscope,1524421882370,64623737445828,2.8238728,-0.32014576,1.0354689
android.sensor.gyroscope,1524421882390,64623757436453,2.6586251,-0.24106488,1.049641
android.sensor.gyroscope,1524421882410,64623777459890,2.4688206,-0.19497073,1.0510024
android.sensor.gyroscope,1524421882430,64623797450515,2.252836,-0.19278906,1.0212795
android.sensor.gyroscope,1524421882450,64623817441140,2.025123,-0.22225022,0.9659176
android.sensor.gyroscope,1524421882470,64623837431765,1.7895036,-0.26316074,0.8868367
android.sensor.gyroscope,1524421882490,64623857453640,1.5776031,-0.3021514,0.8017519
android.sensor.gyroscope,1524421882510,64623877445828,1.3921618,-0.34660494,0.73111844
android.sensor.gyroscope,1524421882530,64623897436453,1.2266349,-0.3956836,0.6634869
android.sensor.gyroscope,1524421882550,64623917458328,1.0586469,-0.45214498,0.6045821
android.sensor.gyroscope,1524421882570,64623937448953,0.87893033,-0.5031435,0.5655914
android.sensor.gyroscope,1524421882590,64623957439578,0.69348913,-0.52141714,0.5263215
android.sensor.gyroscope,1524421882610,64623977463015,0.45104542,-0.45022514,0.43114868
android.sensor.gyroscope,1524421882630,64623997453640,0.20561723,-0.31660274,0.31606168
android.sensor.gyroscope,1524421882650,64624017444265,-0.016353736,-0.17615607,0.22034782
android.sensor.gyroscope,1524421882670,64624037436453,-0.2263343,-0.018256145,0.15844099
android.sensor.gyroscope,1524421882690,64624057458328,-0.46441466,0.19170697,0.08698721
android.sensor.gyroscope,1524421882710,64624077448953,-0.8025722,0.44724062,-0.0051661744
android.sensor.gyroscope,1524421882730,64624097439578,-1.1636285,0.72321206,-0.10934488
android.sensor.gyroscope,1524421882750,64624117463015,-1.4908777,1.0084687,-0.20479694
android.sensor.gyroscope,1524421882770,64624137453640,-1.7715092,1.3128017,-0.29396582
android.sensor.gyroscope,1524421882790,64624157444265,-2.0027654,1.6114275,-0.38423422
android.sensor.gyroscope,1524421882810,64624177434890,-2.2683694,1.9193037,-0.46877798
android.sensor.gyroscope,1524421882830,64624197456765,-2.5148973,2.134206,-0.5072276
android.sensor.gyroscope,1524421882850,64624217447390,-2.6187968,2.2596428,-0.5175948
android.sensor.gyroscope,1524421882870,64624237438015,-2.7030787,2.3700874,-0.5140518
android.sensor.gyroscope,1524421882890,64624257461453,-2.737706,2.4448223,-0.5105088
android.sensor.gyroscope,1524421882910,64624277452078,-2.7120671,2.4360957,-0.4922352
android.sensor.gyroscope,1524421882930,64624297442703,-2.624539,2.3709075,-0.45596728
android.sensor.gyroscope,1524421882950,64624317433328,-2.5118954,2.2975514,-0.42486548
android.sensor.gyroscope,1524421882970,64624337455203,-2.391363,2.2086444,-0.38751546
android.sensor.gyroscope,1524421882990,64624357445828,-2.2798364,2.0902936,-0.3468842
android.sensor.gyroscope,1524421883010,64624377436453,-2.1671927,1.9201239,-0.2956064
android.sensor.gyroscope,1524421883031,64624397459890,-2.0742016,1.7395871,-0.26206118
android.sensor.gyroscope,1524421883050,64624417450515,-1.9476652,1.5560658,-0.2773328
android.sensor.gyroscope,1524421883070,64624437441140,-1.774773,1.4011678,-0.34768704
android.sensor.gyroscope,1524421883090,64624457433328,-1.5797848,1.2765338,-0.41177553
android.sensor.gyroscope,1524421883111,64624477455203,-1.4377149,1.1224562,-0.44013712
android.sensor.gyroscope,1524421883131,64624497445828,-1.3228898,0.8851961,-0.57021654
android.sensor.gyroscope,1524421883150,64624517436453,-1.2838991,0.43877578,-1.0480005
